,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
0,1725082022.9708977,0.0 kilometer_per_hour,53 degree_Celsius,38.431372549019606 percent,16.07843137254902 percent,1725082023.181133
1,1725082023.4810197,0.0 kilometer_per_hour,53 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082023.6610794
2,1725082023.9608362,0.0 kilometer_per_hour,53 degree_Celsius,38.431372549019606 percent,16.470588235294116 percent,1725082024.1410575
3,1725082024.4408817,0.0 kilometer_per_hour,54 degree_Celsius,38.431372549019606 percent,16.470588235294116 percent,1725082024.6209946
4,1725082024.9204319,0.0 kilometer_per_hour,54 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082025.1011353
5,1725082025.4007683,0.0 kilometer_per_hour,54 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082025.5808668
6,1725082025.8805156,0.0 kilometer_per_hour,54 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082026.06095
7,1725082026.360738,0.0 kilometer_per_hour,54 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082026.540894
8,1725082026.840641,0.0 kilometer_per_hour,54 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082027.0208192
9,1725082027.3205893,0.0 kilometer_per_hour,54 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082027.5007954
10,1725082027.8005226,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082027.9805763
11,1725082028.280444,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082028.4607856
12,1725082028.7603908,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082028.9402657
13,1725082029.2460613,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082029.4203556
14,1725082029.7199636,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082029.9001834
15,1725082030.2002115,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082030.3802934
16,1725082030.6802025,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082030.8603733
17,1725082031.1600487,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082031.3402953
18,1725082031.6399767,0.0 kilometer_per_hour,54 degree_Celsius,37.254901960784316 percent,16.07843137254902 percent,1725082031.8201053
19,1725082032.11972,0.0 kilometer_per_hour,54 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082032.3001602
20,1725082032.5997803,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082032.7799582
21,1725082033.0798013,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082033.2600057
22,1725082033.5597348,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082033.73985
23,1725082034.039597,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082034.2197092
24,1725082034.5195713,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082034.6998088
25,1725082034.9995792,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082035.1797564
26,1725082035.479577,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082035.6596043
27,1725082035.9593258,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082036.1394253
28,1725082036.4394703,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082036.619676
29,1725082036.9192643,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082037.0992975
30,1725082037.3990736,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082037.5795157
31,1725082037.8790412,0.0 kilometer_per_hour,55 degree_Celsius,38.03921568627451 percent,16.07843137254902 percent,1725082038.059466
32,1725082038.3592107,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082038.539346
33,1725082038.8392348,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082039.019215
34,1725082039.3192089,0.0 kilometer_per_hour,55 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082039.4992166
35,1725082039.799144,0.0 kilometer_per_hour,56 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082039.9792328
36,1725082040.2790046,0.0 kilometer_per_hour,56 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082040.4592278
37,1725082040.758954,0.0 kilometer_per_hour,56 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082040.938983
38,1725082041.2388885,0.0 kilometer_per_hour,56 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082041.4191215
39,1725082041.7188663,0.0 kilometer_per_hour,56 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082041.8987367
40,1725082042.1986961,0.0 kilometer_per_hour,56 degree_Celsius,37.64705882352941 percent,16.07843137254902 percent,1725082042.3786757
41,1725082042.6785445,0.0 kilometer_per_hour,56 degree_Celsius,37.254901960784316 percent,16.07843137254902 percent,1725082042.8586953
0,1725083151.0869935,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083151.3331048
1,1725083151.6269386,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,4.0 degree,,,,15.294117647058824 percent,1725083151.8671327
2,1725083152.1607513,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,2.5 degree,,,,15.294117647058824 percent,1725083152.401211
3,1725083152.7011244,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,4.5 degree,,,,15.294117647058824 percent,1725083152.9414005
4,1725083153.241295,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,4.0 degree,,,,15.294117647058824 percent,1725083153.486866
5,1725083153.7871754,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083154.0211556
6,1725083154.32122,0.0 kilometer_per_hour,76 degree_Celsius,32.94117647058823 percent,5.0 degree,,,,15.294117647058824 percent,1725083154.5611844
7,1725083154.8673177,0.0 kilometer_per_hour,76 degree_Celsius,33.333333333333336 percent,3.5 degree,,,,15.294117647058824 percent,1725083155.1075158
8,1725083155.4073915,0.0 kilometer_per_hour,76 degree_Celsius,33.333333333333336 percent,5.0 degree,,,,15.294117647058824 percent,1725083155.6413584
9,1725083155.9471328,0.0 kilometer_per_hour,76 degree_Celsius,33.333333333333336 percent,3.0 degree,,,,15.686274509803921 percent,1725083156.187531
10,1725083156.4811454,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,1.5 degree,,,,15.294117647058824 percent,1725083156.7214434
11,1725083157.021222,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,1.5 degree,,,,15.294117647058824 percent,1725083157.2673676
12,1725083157.5674238,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083157.8015118
13,1725083158.1015368,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,2.5 degree,,,,15.294117647058824 percent,1725083158.3414922
14,1725083158.6414165,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083158.881653
15,1725083159.1815,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,4.0 degree,,,,15.294117647058824 percent,1725083159.4276948
16,1725083159.721446,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,4.0 degree,,,,15.294117647058824 percent,1725083159.9676168
17,1725083160.2674966,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083160.507586
18,1725083160.8015397,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,5.0 degree,,,,15.294117647058824 percent,1725083161.0476346
19,1725083161.3475943,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,6.0 degree,,,,15.294117647058824 percent,1725083161.5816157
20,1725083161.8817558,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,1.5 degree,,,,15.294117647058824 percent,1725083162.1218143
21,1725083162.42172,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,1.5 degree,,,,15.294117647058824 percent,1725083162.661878
22,1725083162.9677496,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,3.5 degree,,,,15.294117647058824 percent,1725083163.201844
23,1725083163.5010688,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,2.0 degree,,,,15.294117647058824 percent,1725083163.7418911
24,1725083164.0415099,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,6.0 degree,,,,15.294117647058824 percent,1725083164.2818918
25,1725083164.5815625,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,3.5 degree,,,,15.686274509803921 percent,1725083164.821678
26,1725083165.1217442,0.0 kilometer_per_hour,77 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083165.3618379
27,1725083165.6617963,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,5.5 degree,,,,15.294117647058824 percent,1725083165.9018426
28,1725083166.2017817,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,5.0 degree,,,,15.294117647058824 percent,1725083166.441873
29,1725083166.7416918,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,7.0 degree,,,,15.294117647058824 percent,1725083166.9818635
30,1725083167.2818227,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,0.5 degree,,,,15.686274509803921 percent,1725083167.5279515
31,1725083167.8218713,0.0 kilometer_per_hour,78 degree_Celsius,33.72549019607843 percent,1.0 degree,,,,15.294117647058824 percent,1725083168.0620537
32,1725083168.3620458,0.0 kilometer_per_hour,78 degree_Celsius,33.333333333333336 percent,2.5 degree,,,,15.294117647058824 percent,1725083168.6019275
33,1725083168.90191,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,1.5 degree,,,,15.294117647058824 percent,1725083169.1419075
34,1725083169.441763,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,3.0 degree,,,,15.294117647058824 percent,1725083169.682128
35,1725083169.9819975,0.0 kilometer_per_hour,78 degree_Celsius,32.94117647058823 percent,5.5 degree,,,,15.294117647058824 percent,1725083170.2221463
36,1725083170.5215988,0.0 kilometer_per_hour,78 degree_Celsius,32.549019607843135 percent,3.0 degree,,,,15.294117647058824 percent,1725083170.7622833
