,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos_B,End_Time
0,1725083782.815672,0.0 kilometer_per_hour,93 degree_Celsius,63.13725490196079 percent,5.5 degree,,,,13.72549019607843 percent,1725083783.055193
1,1725083783.3556638,0.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,1.5 degree,,,,12.941176470588236 percent,1725083783.595926
2,1725083783.8955805,0.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,7.5 degree,,,,12.941176470588236 percent,1725083784.1361265
3,1725083784.4360185,0.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,3.0 degree,,,,12.941176470588236 percent,1725083784.6753485
4,1725083784.975275,0.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,2.0 degree,,,,12.941176470588236 percent,1725083785.215355
5,1725083785.515333,0.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,3.5 degree,,,,13.333333333333334 percent,1725083785.755531
6,1725083786.055462,0.0 kilometer_per_hour,93 degree_Celsius,62.35294117647059 percent,2.5 degree,,,,13.333333333333334 percent,1725083786.2955472
7,1725083786.5955467,0.0 kilometer_per_hour,94 degree_Celsius,63.13725490196079 percent,1.0 degree,,,,17.647058823529413 percent,1725083786.8355827
8,1725083787.1355062,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,2.0 degree,,,,17.647058823529413 percent,1725083787.3822992
9,1725083787.6762075,0.0 kilometer_per_hour,94 degree_Celsius,63.13725490196079 percent,6.5 degree,,,,17.647058823529413 percent,1725083787.9165611
10,1725083788.2161388,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,4.0 degree,,,,18.03921568627451 percent,1725083788.4563384
11,1725083788.756275,0.0 kilometer_per_hour,94 degree_Celsius,63.13725490196079 percent,5.0 degree,,,,18.03921568627451 percent,1725083788.9966605
12,1725083789.302295,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,6.5 degree,,,,17.647058823529413 percent,1725083789.5366156
13,1725083789.8359296,0.0 kilometer_per_hour,94 degree_Celsius,63.13725490196079 percent,3.0 degree,,,,17.647058823529413 percent,1725083790.076784
14,1725083790.382505,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,2.0 degree,,,,17.647058823529413 percent,1725083790.6162271
15,1725083790.9166734,0.0 kilometer_per_hour,94 degree_Celsius,63.13725490196079 percent,1.5 degree,,,,17.647058823529413 percent,1725083791.1567912
16,1725083791.4566052,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,4.5 degree,,,,17.647058823529413 percent,1725083791.696858
17,1725083791.9967685,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,4.5 degree,,,,17.647058823529413 percent,1725083792.2368581
18,1725083792.5366888,0.0 kilometer_per_hour,94 degree_Celsius,62.745098039215684 percent,1.0 degree,,,,17.647058823529413 percent,1725083792.783057
19,1725083793.0763037,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,2.5 degree,,,,17.647058823529413 percent,1725083793.3170323
20,1725083793.6166165,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,5.0 degree,,,,17.647058823529413 percent,1725083793.8568714
21,1725083794.1568553,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,1.0 degree,,,,17.647058823529413 percent,1725083794.3965824
22,1725083794.6970215,0.0 kilometer_per_hour,95 degree_Celsius,63.13725490196079 percent,2.0 degree,,,,18.03921568627451 percent,1725083794.937163
23,1725083795.2370322,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,3.0 degree,,,,17.647058823529413 percent,1725083795.4770522
24,1725083795.7770402,0.0 kilometer_per_hour,95 degree_Celsius,63.13725490196079 percent,5.0 degree,,,,17.647058823529413 percent,1725083796.0171313
25,1725083796.3170233,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,4.0 degree,,,,18.03921568627451 percent,1725083796.5572174
26,1725083796.8573422,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,4.0 degree,,,,18.03921568627451 percent,1725083797.0973988
27,1725083797.3972323,0.0 kilometer_per_hour,95 degree_Celsius,62.35294117647059 percent,7.0 degree,,,,17.647058823529413 percent,1725083797.6374316
28,1725083797.937298,0.0 kilometer_per_hour,95 degree_Celsius,62.35294117647059 percent,5.5 degree,,,,18.03921568627451 percent,1725083798.177502
29,1725083798.4768136,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,6.5 degree,,,,18.03921568627451 percent,1725083798.717661
30,1725083799.0174727,0.0 kilometer_per_hour,95 degree_Celsius,62.745098039215684 percent,5.0 degree,,,,17.647058823529413 percent,1725083799.2577877
31,1725083799.5575387,0.0 kilometer_per_hour,95 degree_Celsius,62.35294117647059 percent,1.0 degree,,,,18.03921568627451 percent,1725083799.7977343
32,1725083800.0976098,0.0 kilometer_per_hour,96 degree_Celsius,62.745098039215684 percent,2.0 degree,,,,18.03921568627451 percent,1725083800.3371158
33,1725083800.6374266,0.0 kilometer_per_hour,96 degree_Celsius,62.745098039215684 percent,5.0 degree,,,,18.03921568627451 percent,1725083800.8777213
34,1725083801.1776266,0.0 kilometer_per_hour,96 degree_Celsius,62.35294117647059 percent,5.5 degree,,,,17.647058823529413 percent,1725083801.4179966
35,1725083801.71787,0.0 kilometer_per_hour,96 degree_Celsius,62.35294117647059 percent,3.0 degree,,,,17.647058823529413 percent,1725083801.9580588
36,1725083802.2577734,0.0 kilometer_per_hour,96 degree_Celsius,62.35294117647059 percent,3.5 degree,,,,17.647058823529413 percent,1725083802.4979343
37,1725083802.7979083,0.0 kilometer_per_hour,96 degree_Celsius,61.96078431372549 percent,5.0 degree,,,,17.647058823529413 percent,1725083803.038168
0,1725083825.8405495,9.0 kilometer_per_hour,92 degree_Celsius,54.90196078431372 percent,-2.5 degree,,,,19.607843137254903 percent,1725083826.0807881
1,1725083826.3807113,9.0 kilometer_per_hour,91 degree_Celsius,48.627450980392155 percent,0.0 degree,,,,18.823529411764707 percent,1725083826.6267297
2,1725083826.9208386,10.0 kilometer_per_hour,91 degree_Celsius,48.627450980392155 percent,4.5 degree,,,,18.823529411764707 percent,1725083827.1608603
3,1725083827.4608066,10.0 kilometer_per_hour,91 degree_Celsius,48.23529411764706 percent,2.5 degree,,,,17.647058823529413 percent,1725083827.7008882
4,1725083828.0008495,9.0 kilometer_per_hour,91 degree_Celsius,47.05882352941177 percent,5.0 degree,,,,17.647058823529413 percent,1725083828.2407837
5,1725083828.540632,9.0 kilometer_per_hour,91 degree_Celsius,45.88235294117647 percent,5.5 degree,,,,17.647058823529413 percent,1725083828.7810926
6,1725083829.080892,9.0 kilometer_per_hour,91 degree_Celsius,45.88235294117647 percent,5.0 degree,,,,18.03921568627451 percent,1725083829.320937
7,1725083829.6209006,9.0 kilometer_per_hour,91 degree_Celsius,45.09803921568628 percent,22.0 degree,,,,18.823529411764707 percent,1725083829.8612993
8,1725083830.160972,8.0 kilometer_per_hour,91 degree_Celsius,47.450980392156865 percent,17.5 degree,,,,18.823529411764707 percent,1725083830.4010158
9,1725083830.7009761,9.0 kilometer_per_hour,91 degree_Celsius,48.627450980392155 percent,28.5 degree,,,,19.215686274509803 percent,1725083830.941317
10,1725083831.24089,9.0 kilometer_per_hour,91 degree_Celsius,47.05882352941177 percent,31.0 degree,,,,19.215686274509803 percent,1725083831.481324
11,1725083831.7812421,10.0 kilometer_per_hour,91 degree_Celsius,46.27450980392157 percent,27.5 degree,,,,18.823529411764707 percent,1725083832.0212762
12,1725083832.321298,10.0 kilometer_per_hour,91 degree_Celsius,45.490196078431374 percent,15.0 degree,,,,13.72549019607843 percent,1725083832.561226
13,1725083832.86126,10.0 kilometer_per_hour,91 degree_Celsius,42.745098039215684 percent,21.5 degree,,,,16.862745098039216 percent,1725083833.1014545
14,1725083833.4071746,10.0 kilometer_per_hour,91 degree_Celsius,50.19607843137255 percent,-2.0 degree,,,,14.117647058823529 percent,1725083833.6416597
15,1725083833.9413621,9.0 kilometer_per_hour,91 degree_Celsius,49.80392156862745 percent,-2.5 degree,,,,15.294117647058824 percent,1725083834.181023
16,1725083834.4817855,9.0 kilometer_per_hour,92 degree_Celsius,58.431372549019606 percent,4.5 degree,,,,16.07843137254902 percent,1725083834.7218616
17,1725083835.021546,9.0 kilometer_per_hour,92 degree_Celsius,53.72549019607843 percent,7.5 degree,,,,17.254901960784313 percent,1725083835.2617064
18,1725083835.5611665,9.0 kilometer_per_hour,92 degree_Celsius,48.627450980392155 percent,1.0 degree,,,,18.823529411764707 percent,1725083835.8019862
19,1725083836.101773,8.0 kilometer_per_hour,92 degree_Celsius,49.80392156862745 percent,2.0 degree,,,,18.823529411764707 percent,1725083836.3420346
20,1725083836.6418498,7.0 kilometer_per_hour,92 degree_Celsius,47.05882352941177 percent,1.5 degree,,,,17.647058823529413 percent,1725083836.8820086
21,1725083837.1814635,6.0 kilometer_per_hour,92 degree_Celsius,46.27450980392157 percent,4.5 degree,,,,17.647058823529413 percent,1725083837.4220312
22,1725083837.7219708,6.0 kilometer_per_hour,92 degree_Celsius,47.05882352941177 percent,4.0 degree,,,,17.647058823529413 percent,1725083837.9622304
23,1725083838.2620413,6.0 kilometer_per_hour,92 degree_Celsius,71.37254901960785 percent,5.5 degree,,,,21.568627450980394 percent,1725083838.5022566
24,1725083838.8019428,7.0 kilometer_per_hour,92 degree_Celsius,65.49019607843137 percent,10.5 degree,,,,21.176470588235293 percent,1725083839.0422156
25,1725083839.3421834,8.0 kilometer_per_hour,92 degree_Celsius,64.31372549019608 percent,14.5 degree,,,,21.176470588235293 percent,1725083839.5821803
26,1725083839.882164,9.0 kilometer_per_hour,93 degree_Celsius,62.745098039215684 percent,28.5 degree,,,,20.784313725490197 percent,1725083840.1224184
27,1725083840.422226,10.0 kilometer_per_hour,93 degree_Celsius,57.254901960784316 percent,30.5 degree,,,,19.607843137254903 percent,1725083840.6624696
28,1725083840.9622986,12.0 kilometer_per_hour,93 degree_Celsius,45.88235294117647 percent,27.0 degree,,,,17.254901960784313 percent,1725083841.2026172
