Code,Trouble Code System,Condition Description
P0000,Powertrain,ISO/SAE Reserved
P0001,Powertrain,Fuel Volume Regulator Control Circuit/Open
P0002,Powertrain,Fuel Volume Regulator Control Circuit Range/Performance
P0003,Powertrain,Fuel Volume Regulator Control Circuit Low
P0004,Powertrain,Fuel Volume Regulator Control Circuit High
P0005,Powertrain,Fuel Shutoff Valve Control Circuit/Open
P0006,Powertrain,Fuel Shutoff Valve Control Circuit Low
P0007,Powertrain,Fuel Shutoff Valve Control Circuit High
P0008,Powertrain,Engine Positions System Performance Bank 1
P0009,Powertrain,Engine Position System Performance Bank 2
P000A,Powertrain,Camshaft Position Slow Response Bank 1
P000B,Powertrain,Camshaft Position Slow Response Bank 1
P000C,Powertrain,Camshaft Position Slow Response Bank 2
P000D,Powertrain,Camshaft Position Slow Response Bank 2
P000E,Powertrain,Fuel Volume Regulator Control Exceeded Learning Limit
P000F,Powertrain,Fuel System Over Pressure Relief Valve Activated
P0010,Powertrain,Camshaft Position Actuator Circuit(Bank 1)
P0011,Powertrain,Camshaft Position - Timing Over-Advanced or System Performance(Bank 1)
P0012,Powertrain,Camshaft Position - Timing Over-Retarded (Bank 1)
P0013,Powertrain,Camshaft Position - Actuator Circuit (Bank 1)
P0014,Powertrain,Camshaft Position - Timing Over-Advanced or System Performance(Bank 1)
P0015,Powertrain,Camshaft Position -Timing Over-Retarded (Bank 1)
P0016,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor A)
P0017,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 1 Sensor B)
P0018,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor A)
P0019,Powertrain,Crankshaft Position - Camshaft Position Correlation (Bank 2 Sensor B)
P001A,Powertrain,Camshaft Profile Control Circuit/Open Bank 1
P001B,Powertrain,Camshaft Profile Control Circuit Low Bank 1
P001C,Powertrain,Camshaft Profile Control Circuit High Bank 1
P001D,Powertrain,Camshaft Profile Control Circuit/Open Bank 2
P001E,Powertrain,Camshaft Profile Control Circuit Low Bank 2
P001F,Powertrain,Camshaft Profile Control Circuit High Bank 2
P0020,Powertrain,Camshaft Position Actuator Circuit (Bank 2)
P0021,Powertrain,Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)
P0022,Powertrain,Camshaft Position - Timing Over-Retarded (Bank 2)
P0023,Powertrain,Camshaft Position - Actuator Circuit (Bank 2)
P0024,Powertrain,Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)
P0025,Powertrain,Camshaft Position - Timing Over-Retarded (Bank 2)
P0026,Powertrain,Intake Valve Control Solenoid Circuit Range/Performance Bank 1
P0027,Powertrain,Exhaust Valve Control solenoid Circuit Range/Performance Bank 1
P0028,Powertrain,Intake valve Control Solenoid Circuit Range/Performance Bank 2
P0029,Powertrain,Exhaust Valve Control Solenoid Circuit Range/Performance Bank 2
P002A,Powertrain,Camshaft Profile Control Circuit/Open Bank 1
P002B,Powertrain,Camshaft Profile Control Circuit Low Bank 1
P002C,Powertrain,Camshaft Profile Control Circuit High Bank 1
P002D,Powertrain,Camshaft Profile Control Circuit/Open Bank 2
P002E,Powertrain,Camshaft Profile Control Circuit Low Bank 2
P002F,Powertrain,Camshaft Profile Control Circuit High Bank 2
P0030,Powertrain,HO2S Heater Control Circuit (Bank 1 Sensor 1)
P0031,Powertrain,HO2S Heater Control Circuit Low (Bank 1 Sensor 1)
P0032,Powertrain,HO2S Heater Control Circuit High (Bank 1 Sensor 1)
P0033,Powertrain,Turbo Charger Bypass Valve Control Circuit
P0034,Powertrain,Turbo Charger Bypass Valve Control Circuit Low
P0035,Powertrain,Turbo Charger Bypass Valve Control Circuit High
P0036,Powertrain,HO2S Heater Control Circuit (Bank 1 Sensor 2)
P0037,Powertrain,HO2S Heater Control Circuit Low (Bank 1 Sensor 2)
P0038,Powertrain,HO2S Heater Control Circuit High (Bank 1 Sensor 2)
P0039,Powertrain,Turbo/Super Charger Bypass Valve Control Circuit Range/Performance
P003A,Powertrain,Turbocharger/Supercharger Boost Control Position Exceeded Learning Limit
P003B,Powertrain,Turbocharger/Supercharger Boost Control Position Exceeded Learning Limit
P003C,Powertrain,Camshaft Profile Control Performance/Stuck Off Bank 1
P003D,Powertrain,Camshaft Profile Control Stuck On Bank 1
P003E,Powertrain,Camshaft Profile Control Performance/Stuck Off Bank 2
P003F,Powertrain,Camshaft Profile Control Stuck On Bank 2
P0040,Powertrain,Upstream Oxygen Sensors Swapped From Bank To Bank
P0041,Powertrain,Downstream Oxygen Sensors Swapped From Bank To Bank
P0042,Powertrain,HO2S Heater Control Circuit (Bank 1 Sensor 3)
P0043,Powertrain,HO2S Heater Control Circuit Low (Bank 1 Sensor 3)
P0044,Powertrain,HO2S Heater Control Circuit High (Bank 1 Sensor 3)
P0045,Powertrain,Turbocharger/Supercharger Boost Control Circuit/Open
P0046,Powertrain,Turbocharger/Supercharger Boost Control Circuit Range/Performance
P0047,Powertrain,Turbocharger/Supercharger Boost Control Circuit Low
P0048,Powertrain,Turbocharger/Supercharger Boost Control Circuit High
P0049,Powertrain,Turbocharger/Supercharger Turbine Overspeed
P004A,Powertrain,Turbocharger/Supercharger Boost Control Circuit/Open
P004B,Powertrain,Turbocharger/Supercharger Boost Control Circuit Range/Performance
P004C,Powertrain,Turbocharger/Supercharger Boost Control Circuit Low
P004D,Powertrain,Turbocharger/Supercharger Boost Control Circuit High
P004E,Powertrain,Turbocharger/Supercharger Boost Control Circuit Intermittent/Erratic
