ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,BAROMETRIC_PRESSURE,CALIBRATION_ID,CLEAR_DTC,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_BAROMETRIC_PRESSURE,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_STATUS,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_O2_B1S1,DTC_O2_B1S2,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_STATUS,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,MIDS_A,MIDS_B,MONITOR_CATALYST_B1,MONITOR_O2_B1S1,O2_B1S1,O2_B1S2,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
21.96078431372549 percent,17.254901960784313 percent,8.627450980392156 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.77 volt,50 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,24.705882352941178 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],32 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.065 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,6.2745098039215685 percent,1009.25 revolutions_per_minute,79.0 second,-5.46875 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa278ae60>,7.8431372549019605 percent,15.294117647058824 percent,14.901960784313726 percent,5.5 degree,0.0 count,2025-04-24 16:43:08,2025-04-24 16:43:11,2025-04-24 16:43:08,Signal Acquired,15.516479,73.945877,1.02,2.16,8.59,-0.04,0.02,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:08,Signal Acquired,15.516479,73.945877,1.4,2.3,8.58,-0.0,0.02,0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:09,Signal Acquired,15.516482,73.945876,1.49,2.12,8.92,-0.08,-0.08,0.0,DETECTED
23.52941176470588 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.696 volt,51 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,28.235294117647058 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],35 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.095 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.490196078431373 percent,826.5 revolutions_per_minute,84.0 second,-0.78125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa27ca680>,6.666666666666667 percent,14.509803921568627 percent,14.117647058823529 percent,8.0 degree,0.0 count,2025-04-24 16:43:13,2025-04-24 16:43:16,2025-04-24 16:43:13,Signal Acquired,15.516482,73.945876,1.19,2.2,9.11,-0.04,-0.0,-0.01,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:13,Signal Acquired,15.516483,73.945876,2.28,1.75,8.86,-0.06,0.01,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:13,Signal Acquired,15.516483,73.945876,1.31,2.26,8.61,-0.01,0.02,0.0,DETECTED
20.784313725490197 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.809000000000001 volt,52 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.8 volt,25.88235294117647 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],33 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.28 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,780.5 revolutions_per_minute,89.0 second,-3.90625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e39630>,6.666666666666667 percent,14.117647058823529 percent,14.117647058823529 percent,13.0 degree,0.0 count,2025-04-24 16:43:17,2025-04-24 16:43:21,2025-04-24 16:43:17,Signal Acquired,15.516486,73.945877,1.49,2.1,8.92,-0.03,0.02,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:17,Signal Acquired,15.516486,73.945877,1.37,2.14,8.73,-0.04,0.01,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 16:43:17,Signal Acquired,15.51649,73.945877,1.47,2.16,9.08,-0.04,0.01,-0.0,DETECTED
20.392156862745097 percent,14.901960784313726 percent,7.450980392156863 percent,100 kilopascal,bytearray(b'33920-67P0*'),,13.784 volt,52 degree_Celsius,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.7 volt,25.88235294117647 percent,0.0 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",[],[],33 kilopascal,40 degree_Celsius,-3.125 percent,10000000000000000000000000000001,10000000000000000000000000000000,Unknown : 0.0 millisecond [PASSED],Sensor period : 0.0 millisecond [PASSED],0.11 volt,1.275 volt,"((), (False, False, False, False), (False, False, True, True))",EOBD (Europe),0001000000000000000000000000000000000000,10111110001111101011100000010011,10000000000001011010000000000001,01101010110100000000000000000000,5.098039215686274 percent,760.75 revolutions_per_minute,93.0 second,-3.125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x733fa0e572e0>,6.2745098039215685 percent,14.117647058823529 percent,14.117647058823529 percent,15.5 degree,0.0 count,2025-04-24 16:43:22,2025-04-24 16:43:26,2025-04-24 16:43:22,Signal Acquired,15.51649,73.945877,1.45,2.12,8.98,-0.05,-0.03,-0.0,DETECTED
