ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,BAROMETRIC_PRESSURE,CALIBRATION_ID,CATALYST_TEMP_B1S1,CLEAR_DTC,COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,CVN,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_BAROMETRIC_PRESSURE,DTC_CATALYST_TEMP_B1S1,DTC_COMMANDED_EQUIV_RATIO,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_STATUS,DTC_FUEL_TYPE,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_O2_B1S2,DTC_O2_S1_WR_CURRENT,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_STATUS,FUEL_TYPE,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,MIDS_A,MIDS_B,MIDS_C,MIDS_D,MIDS_E,MIDS_F,MONITOR_CATALYST_B1,MONITOR_MISFIRE_CYLINDER_1,MONITOR_MISFIRE_CYLINDER_2,MONITOR_MISFIRE_CYLINDER_3,MONITOR_MISFIRE_CYLINDER_4,MONITOR_O2_B1S1,MONITOR_O2_B1S2,O2_B1S2,O2_S1_WR_CURRENT,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,VIN,WARMUPS_SINCE_DTC_CLEAR
66.27450980392157 percent,29.019607843137255 percent,14.509803921568627 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),575.2 degree_Celsius,,1.019188 ratio,14.142 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.2 volt,64.31372549019608 percent,79.6078431372549 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",60 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.735 volt,-0.0078125 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,5.098039215686274 percent,1021.0 revolutions_per_minute,544.0 second,7.8125 percent,47.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b23290>,5.098039215686274 percent,15.294117647058824 percent,32.15686274509804 percent,18.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
36.07843137254902 percent,21.568627450980394 percent,10.588235294117647 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),577.3000000000001 degree_Celsius,,1.0304119999999999 ratio,14.272 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,31.764705882352942 percent,30.58823529411765 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",32 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,Unknown : 0.715 volt [PASSED],0.715 volt,0.04296875 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,3.9215686274509802 percent,1132.0 revolutions_per_minute,549.0 second,0.0 percent,48.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b26090>,4.313725490196078 percent,14.901960784313726 percent,31.764705882352942 percent,-25.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
23.137254901960784 percent,19.215686274509803 percent,9.803921568627452 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),573.4 degree_Celsius,,1.9988175 ratio,14.292 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,23.529411764705884 percent,0.0 percent,"('Open loop due to engine load OR fuel cut due to deceleration', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",24 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.0 volt,1.4765625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,7.0588235294117645 percent,1286.0 revolutions_per_minute,553.0 second,0.0 percent,38.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b27b90>,9.411764705882353 percent,18.03921568627451 percent,34.90196078431372 percent,6.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
44.31372549019608 percent,26.666666666666668 percent,13.333333333333334 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),566.6 degree_Celsius,,0.9352214999999999 ratio,14.235 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,71.37254901960785 percent,45.88235294117647 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",74 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.685 volt,-0.15234375 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,16.07843137254902 percent,1526.0 revolutions_per_minute,557.0 second,12.5 percent,42.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b31c90>,12.156862745098039 percent,19.607843137254903 percent,35.294117647058826 percent,16.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
57.254901960784316 percent,25.49019607843137 percent,12.941176470588236 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),574.7 degree_Celsius,,1.013759 ratio,13.64 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.0 volt,52.94117647058823 percent,56.86274509803921 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",54 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.745 volt,0.046875 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,7.8431372549019605 percent,1144.0 revolutions_per_minute,561.0 second,7.8125 percent,44.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b3d2d0>,8.235294117647058 percent,17.647058823529413 percent,34.11764705882353 percent,17.5 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
53.333333333333336 percent,27.058823529411764 percent,13.72549019607843 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),574.4000000000001 degree_Celsius,,1.027484 ratio,14.342 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,57.254901960784316 percent,59.21568627450981 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",60 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.715 volt,0.0546875 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,8.627450980392156 percent,1213.0 revolutions_per_minute,565.0 second,9.375 percent,44.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b3f590>,9.803921568627452 percent,18.431372549019606 percent,34.90196078431372 percent,17.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
59.6078431372549 percent,27.45098039215686 percent,13.72549019607843 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),575.6 degree_Celsius,,1.023458 ratio,14.21 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,68.23529411764706 percent,75.29411764705883 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",70 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.59 volt,-0.00390625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,10.980392156862745 percent,1335.0 revolutions_per_minute,569.0 second,10.15625 percent,45.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b416d0>,11.764705882352942 percent,19.607843137254903 percent,36.07843137254902 percent,13.5 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
66.27450980392157 percent,28.627450980392158 percent,14.509803921568627 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),581.7 degree_Celsius,,1.002474 ratio,14.192 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,61.1764705882353 percent,66.27450980392157 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",58 kilopascal,38 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,Unknown : 0.582 volt [PASSED],0.58 volt,-0.0078125 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,7.8431372549019605 percent,1134.0 revolutions_per_minute,573.0 second,7.8125 percent,43.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b43d10>,8.235294117647058 percent,17.647058823529413 percent,34.11764705882353 percent,17.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
51.76470588235294 percent,29.80392156862745 percent,14.901960784313726 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),586.6 degree_Celsius,,0.996374 ratio,14.255 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,71.76470588235294 percent,85.88235294117646 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",73 kilopascal,37 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.555 volt,-0.01171875 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,10.980392156862745 percent,1337.0 revolutions_per_minute,577.0 second,8.59375 percent,47.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b22010>,11.764705882352942 percent,20.0 percent,36.07843137254902 percent,13.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
67.84313725490196 percent,29.019607843137255 percent,14.509803921568627 percent,0 kilopascal,bytearray(b'37805-5V6-D6'),600.7 degree_Celsius,,0.9931715 ratio,14.255 volt,80 degree_Celsius,f02cf04a,5102.0 kilometer,27.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,14.3 volt,70.19607843137256 percent,85.49019607843137 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],"[('P0138', 'O2 Sensor Circuit High Voltage')]",72 kilopascal,37 degree_Celsius,9.375 percent,11000000000000000000000000000001,10000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,01111000000000000000000000000000,Unknown : 0.0 volt [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]",,,0.54 volt,0.0 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001011011000000010001,01111010110100001000000000000000,10.196078431372548 percent,1305.0 revolutions_per_minute,581.0 second,8.59375 percent,49.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x788289b4a550>,12.549019607843137 percent,20.392156862745097 percent,36.470588235294116 percent,11.0 degree,bytearray(b'MAKGK785FG4100583'),255.0 count
