ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,AMBIANT_AIR_TEMP,BAROMETRIC_PRESSURE,CALIBRATION_ID,CATALYST_TEMP_B1S1,CLEAR_DTC,COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,CVN,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_AMBIANT_AIR_TEMP,DTC_BAROMETRIC_PRESSURE,DTC_CATALYST_TEMP_B1S1,DTC_COMMANDED_EQUIV_RATIO,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_LEVEL,DTC_FUEL_STATUS,DTC_FUEL_TYPE,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_LONG_O2_TRIM_B1,DTC_O2_B1S2,DTC_O2_S1_WR_CURRENT,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_STATUS_DRIVE_CYCLE,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_LEVEL,FUEL_STATUS,FUEL_TYPE,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,LONG_O2_TRIM_B1,MIDS_A,MIDS_B,MIDS_C,MIDS_D,MIDS_E,MIDS_F,MONITOR_CATALYST_B1,MONITOR_MISFIRE_CYLINDER_1,MONITOR_MISFIRE_CYLINDER_2,MONITOR_MISFIRE_CYLINDER_3,MONITOR_MISFIRE_CYLINDER_4,MONITOR_O2_B1S1,MONITOR_O2_B1S2,MONITOR_O2_HEATER_B1S1,MONITOR_O2_HEATER_B1S2,MONITOR_PURGE_FLOW,MONITOR_VVT_B1,O2_B1S2,O2_S1_WR_CURRENT,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,STATUS_DRIVE_CYCLE,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,VIN,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
31.372549019607842 percent,14.901960784313726 percent,14.901960784313726 percent,39 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),409.8 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,12.8 volt,41.568627450980394 percent,23.137254901960784 percent,91.76470588235294 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],45 kilopascal,50 degree_Celsius,1.5625 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : 719.7 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.555 volt,-0.015625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,3.5294117647058822 percent,924.5 revolutions_per_minute,195.0 second,0.78125 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7f6f83e0edd0>,<obd.OBDResponse.Status object at 0x7f6f83e0f310>,4.705882352941177 percent,14.117647058823529 percent,14.117647058823529 percent,0.5 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-28 14:48:03,2025-04-28 14:48:08,2025-04-28 14:48:03,Signal Acquired,15.326475,73.932784,1.15,0.65,9.17,-0.01,0.01,-0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 14:48:04,Signal Acquired,15.326472,73.932787,0.69,0.44,8.97,-0.02,0.02,-0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 14:48:04,Signal Acquired,15.326472,73.932787,1.36,0.42,8.89,-0.04,0.02,0.0,NO
30.980392156862745 percent,14.901960784313726 percent,14.901960784313726 percent,39 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),409.1 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,12.8 volt,39.6078431372549 percent,23.137254901960784 percent,91.76470588235294 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],45 kilopascal,50 degree_Celsius,1.5625 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.54 volt,-0.0078125 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,3.5294117647058822 percent,933.0 revolutions_per_minute,203.0 second,1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7f6f824a74c0>,<obd.OBDResponse.Status object at 0x7f6f824a7580>,4.705882352941177 percent,14.117647058823529 percent,14.117647058823529 percent,1.5 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-28 14:48:11,2025-04-28 14:48:16,2025-04-28 14:48:11,Signal Acquired,15.326469,73.93279,1.03,0.63,8.98,-0.03,0.02,-0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 14:48:11,Signal Acquired,15.326469,73.93279,1.04,0.45,8.94,-0.03,0.01,0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 14:48:11,Signal Acquired,15.326467,73.932794,1.24,0.59,8.88,-0.02,0.01,-0.0,NO
31.764705882352942 percent,14.901960784313726 percent,14.901960784313726 percent,38 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),408.5 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,12.8 volt,40.0 percent,23.137254901960784 percent,91.76470588235294 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],45 kilopascal,50 degree_Celsius,1.5625 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.57 volt,-0.01953125 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,3.5294117647058822 percent,931.5 revolutions_per_minute,210.0 second,1.5625 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7f6f824bfdc0>,<obd.OBDResponse.Status object at 0x7f6f83de4df0>,4.705882352941177 percent,14.117647058823529 percent,14.117647058823529 percent,1.5 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-28 14:48:17,2025-04-28 14:48:23,2025-04-28 14:48:17,Signal Acquired,15.326467,73.932794,1.07,0.44,8.94,-0.06,0.02,0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 14:48:17,Signal Acquired,15.326465,73.932797,1.44,0.67,8.75,-0.03,0.02,0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-28 14:48:17,Signal Acquired,15.326465,73.932797,0.88,0.45,8.79,-0.04,0.02,0.0,NO
31.372549019607842 percent,14.901960784313726 percent,14.901960784313726 percent,38 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),408.20000000000005 degree_Celsius,,,,,,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,12.8 volt,72.15686274509804 percent,34.90196078431372 percent,91.76470588235294 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],81 kilopascal,51 degree_Celsius,1.5625 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.615 volt,0.0078125 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,5.882352941176471 percent,1055.5 revolutions_per_minute,216.0 second,5.46875 percent,8.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7f6f824e9f90>,<obd.OBDResponse.Status object at 0x7f6f824ea260>,7.8431372549019605 percent,16.470588235294116 percent,16.470588235294116 percent,-15.0 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-28 14:48:24,2025-04-28 14:48:29,2025-04-28 14:48:24,Signal Acquired,15.326462,73.9328,1.47,0.75,8.8,-0.0,0.01,0.01,NO
