timestamp_obd,status,fuel_status,engine_load,coolant_temp,short_fuel_trim_1,long_fuel_trim_1,intake_pressure,rpm,speed,timing_advance,intake_temp,throttle_pos,o2_sensors,o2_b1s2,obd_compliance,run_time,pids_b,distance_w_mil,evaporative_purge,fuel_level,warmups_since_dtc_clear,distance_since_dtc_clear,barometric_pressure,o2_s1_wr_current,catalyst_temp_b1s1,pids_c,status_drive_cycle,control_module_voltage,absolute_load,commanded_equiv_ratio,relative_throttle_pos,ambiant_air_temp,throttle_pos_b,accelerator_pos_d,accelerator_pos_e,throttle_actuator,fuel_type,long_o2_trim_b1,unknown
1734340661,<obd.OBDResponse.Status object at 0x7d80417f9160>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",23.1372549,97,-1.5625,0.78125,36,1173.5,26,15,57,13.7254902,"((), (False, False, False, False), (False, False, True, True))",0.73,India OBD II (IOBD II),108,1E+31,0,28.23529412,80,255,2562,100,0.0078125,370.3,1.11111E+31,<obd.OBDResponse.Status object at 0x7d80417fa4b0>,14.12,26.2745098,0.999424,3.529411765,36,14.11764706,21.56862745,21.56862745,4.705882353,Gasoline,0,
1734340664,<obd.OBDResponse.Status object at 0x7d80417faf60>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",32.94117647,96,-1.5625,1.5625,50,1174,26,12,58,15.29411765,"((), (False, False, False, False), (False, False, True, True))",0.735,India OBD II (IOBD II),112,1E+31,0,34.50980392,80,255,2562,100,0.0078125,371.2,1.11111E+31,<obd.OBDResponse.Status object at 0x7d80417f8a40>,14.12,30.98039216,0.999424,3.529411765,36,14.50980392,14.90196078,14.90196078,3.921568627,Gasoline,0,
1734340668,<obd.OBDResponse.Status object at 0x7d804181f7a0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",36.8627451,96,3.125,0.78125,41,905.5,15,4.5,58,12.94117647,"((), (False, False, False, False), (False, False, True, True))",0.74,India OBD II (IOBD II),115,1E+31,0,21.56862745,80,255,2562,100,-0.0390625,370.6,1.11111E+31,<obd.OBDResponse.Status object at 0x7d804181d0a0>,14.12,27.45098039,0.999424,2.745098039,36,13.33333333,14.90196078,14.90196078,3.921568627,Gasoline,0,
1734340671,<obd.OBDResponse.Status object at 0x7d80417f9460>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",73.7254902,96,-2.34375,1.5625,98,967.5,14,0.5,58,26.2745098,"((), (False, False, False, False), (False, False, True, True))",0.755,India OBD II (IOBD II),118,1E+31,0,74.90196078,80,255,2562,100,0.01171875,371.7,1.11111E+31,<obd.OBDResponse.Status object at 0x7d804181ccb0>,14.14,68.23529412,0.999424,15.68627451,36,25.88235294,31.76470588,31.76470588,16.07843137,Gasoline,0,
1734340674,<obd.OBDResponse.Status object at 0x7d804181d610>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",38.82352941,96,0,1.5625,92,1578,23,10.5,57,21.96078431,"((), (False, False, False, False), (False, False, True, True))",0.75,India OBD II (IOBD II),121,1E+31,0,25.88235294,80,255,2562,100,-0.00390625,381,1.11111E+31,<obd.OBDResponse.Status object at 0x7d80417fb500>,14.14,25.88235294,0.999424,3.137254902,36,14.11764706,14.90196078,14.90196078,3.921568627,Gasoline,0,
1734340677,<obd.OBDResponse.Status object at 0x7d804181d9a0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",56.8627451,96,1.5625,1.5625,96,1145.5,25,4.5,57,24.70588235,"((), (False, False, False, False), (False, False, True, True))",0.75,India OBD II (IOBD II),124,1E+31,0,80.39215686,80,255,2562,100,-0.06640625,384.9,1.11111E+31,<obd.OBDResponse.Status object at 0x7d804181cb60>,14.06,69.01960784,0.999424,18.43137255,36,27.84313725,32.54901961,32.54901961,21.96078431,Gasoline,0,
1734340680,<obd.OBDResponse.Status object at 0x7d8040e49c40>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",39.21568627,96,-2.34375,1.5625,85,1383.5,30,16.5,56,15.29411765,"((), (False, False, False, False), (False, False, True, True))",0.75,India OBD II (IOBD II),127,1E+31,0,3.921568627,80,255,2562,100,0.0234375,395,1.11111E+31,<obd.OBDResponse.Status object at 0x7d804181c8c0>,14.08,28.23529412,0.999424,4.31372549,36,14.90196078,21.56862745,21.56862745,4.705882353,Gasoline,0,
1734340683,<obd.OBDResponse.Status object at 0x7d8040e48fb0>,"('Open loop due to engine load OR fuel cut due to deceleration', '')",0,96,0,0,29,1258,27,-11.5,56,12.54901961,"((), (False, False, False, False), (False, False, True, True))",0.745,India OBD II (IOBD II),130,1E+31,0,0,80,255,2562,100,0.3671875,393.1,1.11111E+31,<obd.OBDResponse.Status object at 0x7d80417fb6b0>,14.02,28.62745098,1.283196,4.31372549,35,14.50980392,15.29411765,15.29411765,5.098039216,Gasoline,0,
1734340686,<obd.OBDResponse.Status object at 0x7d804181d8b0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",32.94117647,96,-3.125,0.78125,44,933.5,12,-7.5,57,13.7254902,"((), (False, False, False, False), (False, False, True, True))",0.215,India OBD II (IOBD II),133,1E+31,0,3.137254902,80,255,2562,100,-0.16796875,392.1,1.11111E+31,<obd.OBDResponse.Status object at 0x7d80417f9010>,14.06,28.62745098,0.924272,3.137254902,35,13.7254902,14.90196078,14.90196078,3.921568627,Gasoline,0,
1734340689,<obd.OBDResponse.Status object at 0x7d8040e49280>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",83.52941176,97,0,1.5625,105,1060.5,15,-5.5,57,85.88235294,"((), (False, False, False, False), (False, False, True, True))",0.58,India OBD II (IOBD II),136,1E+31,0,80.39215686,80,255,2562,100,-0.0078125,395.3,1.11111E+31,<obd.OBDResponse.Status object at 0x7d804181c590>,14.02,89.01960784,0.999424,77.25490196,35,88.23529412,39.60784314,39.60784314,99.60784314,Gasoline,0,
