Timestamp,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS
1726904479,<obd.OBDResponse.Status object at 0x7f667477c210>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294,93,0,-6.25,33,884,0,4.5,43,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.105,EOBD (Europe),1017,1E+31,0,0,10,207,100,1.101E+30,13.984,15.29411765,0
1726904480,<obd.OBDResponse.Status object at 0x7f667477dd90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294,93,2.34375,-6.25,33,894.75,0,4.5,43,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.76,EOBD (Europe),1018,1E+31,0,0,10,207,100,1.101E+30,14.004,15.68627451,0
1726904481,<obd.OBDResponse.Status object at 0x7f667477c9d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294,93,0,-6.25,34,907.25,1,6.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.135,EOBD (Europe),1019,1E+31,0,0,10,207,100,1.101E+30,13.887,15.29411765,0
1726904482,<obd.OBDResponse.Status object at 0x7f667477e810>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294,93,3.125,-6.25,33,908.75,5,4.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.76,EOBD (Europe),1020,1E+31,0,0,10,207,100,1.101E+30,14.121,14.90196078,0
1726904483,<obd.OBDResponse.Status object at 0x7f667477fdd0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.09803922,93,0,-6.25,32,925.75,9,5.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.73,EOBD (Europe),1022,1E+31,0,0,10,207,100,1.101E+30,13.77,14.90196078,0
1726904485,<obd.OBDResponse.Status object at 0x7f667477ca90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.49019608,93,0,-6.25,34,886.75,12,6.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.09,EOBD (Europe),1023,1E+31,0,0,10,207,100,1.101E+30,13.203,15.29411765,0
1726904486,<obd.OBDResponse.Status object at 0x7f667477c490>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.2745098,92,2.34375,-6.25,34,902.75,14,4,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.21,EOBD (Europe),1024,1E+31,0,0,10,207,100,1.101E+30,13.75,15.29411765,0
1726904487,<obd.OBDResponse.Status object at 0x7f667477e750>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.2745098,92,2.34375,-6.25,34,920.75,15,5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.735,EOBD (Europe),1025,1E+31,0,0,10,207,100,1.101E+30,13.828,15.29411765,0
1726904488,<obd.OBDResponse.Status object at 0x7f667477c390>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294,92,0.78125,-6.25,32,909.25,17,5.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.115,EOBD (Europe),1026,1E+31,0,0,10,207,100,1.101E+30,13.945,15.29411765,0
1726904489,<obd.OBDResponse.Status object at 0x7f667477e950>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.49019608,92,3.125,-6.25,33,922.5,19,4,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.785,EOBD (Europe),1027,1E+31,0,0,10,207,100,1.101E+30,13.984,14.90196078,0
1726904491,<obd.OBDResponse.Status object at 0x7f667477c750>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.49019608,92,0,-5.46875,32,901.5,20,6,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.48,EOBD (Europe),1029,1E+31,0,0,10,207,100,1.101E+30,13.77,15.29411765,0
1726904492,<obd.OBDResponse.Status object at 0x7f667477cd90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.2745098,92,0.78125,-5.46875,33,900.75,19,4,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.1,EOBD (Europe),1030,1E+31,0,0,10,207,100,1.101E+30,13.809,15.68627451,0
1726904493,<obd.OBDResponse.Status object at 0x7f667477d7d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.66666667,92,3.90625,-5.46875,33,954.5,18,2.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.795,EOBD (Europe),1031,1E+31,0,0,10,207,100,1.101E+30,14.18,14.11764706,0
1726904494,<obd.OBDResponse.Status object at 0x7f667477da90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",23.92156863,92,0.78125,-5.46875,30,924.5,20,6,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.78,EOBD (Europe),1032,1E+31,0,0,10,207,100,1.101E+30,14.082,14.50980392,0
1726904495,<obd.OBDResponse.Status object at 0x7f667477f110>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",24.70588235,92,-0.78125,-5.46875,33,910.25,21,5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.105,EOBD (Europe),1033,1E+31,0,0,10,207,100,1.101E+30,13.164,15.29411765,0
1726904497,<obd.OBDResponse.Status object at 0x7f667477d410>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.88235294,92,2.34375,-5.46875,33,908.25,22,4.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.21,EOBD (Europe),1034,1E+31,0,0,10,207,100,1.101E+30,13.633,14.90196078,0
1726904498,<obd.OBDResponse.Status object at 0x7f667477e150>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.49019608,92,1.5625,-5.46875,32,917.75,22,5.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.725,EOBD (Europe),1036,1E+31,0,0,10,207,100,1.101E+30,14.141,14.50980392,0
1726904499,<obd.OBDResponse.Status object at 0x7f667477e0d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",24.31372549,92,-0.78125,-5.46875,33,916.25,23,6.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.405,EOBD (Europe),1037,1E+31,0,0,10,207,100,1.101E+30,14.023,14.50980392,0
1726904500,<obd.OBDResponse.Status object at 0x7f667477dad0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",24.70588235,92,0,-5.46875,33,918.25,25,5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.11,EOBD (Europe),1038,1E+31,0,0,10,207,100,1.101E+30,14.023,14.11764706,0
1726904501,<obd.OBDResponse.Status object at 0x7f667477c4d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",24.31372549,92,0.78125,-4.6875,32,903.25,26,5.5,44,16.47058824,"((), (False, False, False, False), (False, False, False, True))",0.765,EOBD (Europe),1039,1E+31,0,0,10,207,100,1.101E+30,13.164,14.90196078,0
