Timestamp,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS
1726904154.3027403,<obd.OBDResponse.Status object at 0x7fd796ca07d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",23.529411764705884,89,-1.5625,0.0,32,1080.25,0.0,7.5,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.725,EOBD (Europe),692.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.555,14.509803921568627,0.0
1726904155.4970171,<obd.OBDResponse.Status object at 0x7fd796cb4590>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",23.92156862745098,89,-4.6875,0.0,32,1044.75,0.0,8.0,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.735,EOBD (Europe),694.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.516,14.117647058823529,0.0
1726904156.6913257,<obd.OBDResponse.Status object at 0x7fd796cb5990>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",24.313725490196077,89,-7.03125,0.0,31,980.75,0.0,9.0,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.66,EOBD (Europe),695.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.477,14.509803921568627,0.0
1726904157.891592,<obd.OBDResponse.Status object at 0x7fd796cb4210>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",25.098039215686274,89,-6.25,-3.90625,33,867.25,0.0,9.0,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.07,EOBD (Europe),696.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.301,15.686274509803921,0.0
1726904159.0859618,<obd.OBDResponse.Status object at 0x7fd796cb5010>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,89,-3.90625,-3.90625,35,877.75,0.0,6.5,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.075,EOBD (Europe),697.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.672,16.07843137254902,0.0
1726904160.274133,<obd.OBDResponse.Status object at 0x7fd796cb4050>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.666666666666668,89,-0.78125,-3.90625,33,891.0,0.0,4.5,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.135,EOBD (Europe),698.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.867,15.686274509803921,0.0
1726904161.468524,<obd.OBDResponse.Status object at 0x7fd796ca3550>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.666666666666668,89,-0.78125,-3.90625,35,876.5,0.0,5.5,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.76,EOBD (Europe),699.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.945,15.686274509803921,0.0
1726904162.6567113,<obd.OBDResponse.Status object at 0x7fd796cc03d0>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.666666666666668,89,-3.125,-3.90625,34,859.75,0.0,6.5,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.09,EOBD (Europe),700.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.828,16.07843137254902,0.0
1726904163.8449352,<obd.OBDResponse.Status object at 0x7fd796cc0d90>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",27.058823529411764,89,0.0,-3.90625,34,869.0,0.0,4.0,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.59,EOBD (Europe),702.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,14.023,16.07843137254902,0.0
1726904165.0332587,<obd.OBDResponse.Status object at 0x7fd796cc0350>,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",26.666666666666668,89,-1.5625,-3.90625,33,870.25,0.0,6.0,41,16.470588235294116,"((), (False, False, False, False), (False, False, False, True))",0.66,EOBD (Europe),703.0,10000000000001011010000000000001,0.0,0.0,10.0,205.0,100,01101000000000000000000000000000,13.867,16.07843137254902,0.0
