ABSOLUTE_LOAD,ACCELERATOR_POS_D,ACCELERATOR_POS_E,AMBIANT_AIR_TEMP,BAROMETRIC_PRESSURE,CALIBRATION_ID,CATALYST_TEMP_B1S1,CLEAR_DTC,COMMANDED_EQUIV_RATIO,CONTROL_MODULE_VOLTAGE,COOLANT_TEMP,CVN,DISTANCE_SINCE_DTC_CLEAR,DISTANCE_W_MIL,DTC_ABSOLUTE_LOAD,DTC_ACCELERATOR_POS_D,DTC_ACCELERATOR_POS_E,DTC_AMBIANT_AIR_TEMP,DTC_BAROMETRIC_PRESSURE,DTC_CATALYST_TEMP_B1S1,DTC_COMMANDED_EQUIV_RATIO,DTC_CONTROL_MODULE_VOLTAGE,DTC_COOLANT_TEMP,DTC_DISTANCE_SINCE_DTC_CLEAR,DTC_DISTANCE_W_MIL,DTC_ENGINE_LOAD,DTC_EVAPORATIVE_PURGE,DTC_FUEL_LEVEL,DTC_FUEL_STATUS,DTC_FUEL_TYPE,DTC_INTAKE_PRESSURE,DTC_INTAKE_TEMP,DTC_LONG_FUEL_TRIM_1,DTC_LONG_O2_TRIM_B1,DTC_O2_B1S2,DTC_O2_S1_WR_CURRENT,DTC_O2_SENSORS,DTC_OBD_COMPLIANCE,DTC_PIDS_B,DTC_PIDS_C,DTC_RELATIVE_THROTTLE_POS,DTC_RPM,DTC_RUN_TIME,DTC_SHORT_FUEL_TRIM_1,DTC_SPEED,DTC_STATUS,DTC_STATUS_DRIVE_CYCLE,DTC_THROTTLE_ACTUATOR,DTC_THROTTLE_POS,DTC_THROTTLE_POS_B,DTC_TIMING_ADVANCE,DTC_WARMUPS_SINCE_DTC_CLEAR,ELM_VERSION,ELM_VOLTAGE,ENGINE_LOAD,EVAPORATIVE_PURGE,FUEL_LEVEL,FUEL_STATUS,FUEL_TYPE,GET_CURRENT_DTC,GET_DTC,INTAKE_PRESSURE,INTAKE_TEMP,LONG_FUEL_TRIM_1,LONG_O2_TRIM_B1,MIDS_A,MIDS_B,MIDS_C,MIDS_D,MIDS_E,MIDS_F,MONITOR_CATALYST_B1,MONITOR_MISFIRE_CYLINDER_1,MONITOR_MISFIRE_CYLINDER_2,MONITOR_MISFIRE_CYLINDER_3,MONITOR_MISFIRE_CYLINDER_4,MONITOR_O2_B1S1,MONITOR_O2_B1S2,MONITOR_O2_HEATER_B1S1,MONITOR_O2_HEATER_B1S2,MONITOR_PURGE_FLOW,MONITOR_VVT_B1,O2_B1S2,O2_S1_WR_CURRENT,O2_SENSORS,OBD_COMPLIANCE,PIDS_9A,PIDS_A,PIDS_B,PIDS_C,RELATIVE_THROTTLE_POS,RPM,RUN_TIME,SHORT_FUEL_TRIM_1,SPEED,STATUS,STATUS_DRIVE_CYCLE,THROTTLE_ACTUATOR,THROTTLE_POS,THROTTLE_POS_B,TIMING_ADVANCE,VIN,WARMUPS_SINCE_DTC_CLEAR,TIMESTAMP_OBD,MERGED_TIMESTAMP,TIMESTAMP_EPS8266,GPS_STATUS,LATITUDE,LONGITUDE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,VIBRATION_STATUS
30.19607843137255 percent,14.901960784313726 percent,14.901960784313726 percent,40 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),403.70000000000005 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.9 volt,38.8235294117647 percent,22.745098039215687 percent,13.72549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],44 kilopascal,56 degree_Celsius,0.0 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : 719.8000000000001 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.73 volt,-0.00390625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,3.5294117647058822 percent,931.5 revolutions_per_minute,324.0 second,-2.34375 percent,0.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7c9564403be0>,<obd.OBDResponse.Status object at 0x7c9564410160>,4.313725490196078 percent,13.72549019607843 percent,14.117647058823529 percent,-1.0 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-24 12:55:57,2025-04-24 12:56:02,2025-04-24 12:55:58,No Signal,,,1.44,1.12,8.74,-0.06,0.04,0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:55:58,No Signal,,,1.58,1.28,8.97,-0.02,0.03,-0.0,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:55:59,No Signal,,,1.67,1.13,8.55,-0.04,0.02,-0.0,NO
55.294117647058826 percent,21.176470588235293 percent,21.176470588235293 percent,40 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),404.6 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.9 volt,43.13725490196079 percent,34.509803921568626 percent,13.72549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],66 kilopascal,57 degree_Celsius,0.78125 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.725 volt,-0.01953125 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,5.490196078431373 percent,996.0 revolutions_per_minute,330.0 second,2.34375 percent,7.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7c9562ab8040>,<obd.OBDResponse.Status object at 0x7c9562ab8100>,7.0588235294117645 percent,16.07843137254902 percent,16.07843137254902 percent,-3.0 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-24 12:56:04,2025-04-24 12:56:09,2025-04-24 12:56:04,No Signal,,,1.37,1.22,9.01,-0.03,0.0,-0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:04,No Signal,,,1.57,2.02,8.74,-0.02,0.04,-0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:04,No Signal,,,1.02,0.97,9.11,-0.05,-0.02,0.01,NO
37.64705882352941 percent,14.901960784313726 percent,14.901960784313726 percent,40 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),408.40000000000003 degree_Celsius,,,,,,,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.9 volt,39.21568627450981 percent,25.49019607843137 percent,13.72549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],59 kilopascal,57 degree_Celsius,0.78125 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.715 volt,-0.0390625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,5.882352941176471 percent,1151.0 revolutions_per_minute,337.0 second,-3.125 percent,9.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7c9562acb640>,<obd.OBDResponse.Status object at 0x7c9562acb700>,7.0588235294117645 percent,15.294117647058824 percent,15.686274509803921 percent,0.0 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-24 12:56:10,2025-04-24 12:56:15,2025-04-24 12:56:10,No Signal,,,1.0,1.49,9.19,-0.0,0.05,-0.01,NO
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:10,No Signal,,,2.04,1.6,8.2,-0.03,0.02,-0.0,DETECTED
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-24 12:56:10,No Signal,,,2.34,1.38,8.83,-0.03,-0.0,-0.0,DETECTED
30.980392156862745 percent,22.352941176470587 percent,22.352941176470587 percent,41 degree_Celsius,100 kilopascal,bytearray(b'5E018DD3844BEA'),411.70000000000005 degree_Celsius,,,,,,0.0 kilometer,0.0 kilometer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ELM327 v1.5,13.9 volt,30.58823529411765 percent,30.980392156862745 percent,13.72549019607843 percent,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",Gasoline,[],[],50 kilopascal,57 degree_Celsius,0.78125 percent,0.0 percent,11000000000000000000000000000001,10000000000000000000100000001001,11000000000000000000000000000001,1.0,1.0,01111000000000000000000000000000,Unknown : 0.0 percent [PASSED],"Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Average misfire counts for last ten driving cycles : 0.0 count [PASSED]
Misfire counts for last/current driving cycles : 0.0 count [PASSED]","Unknown : 0.0 count [PASSED]
Unknown : 0.0 count [PASSED]
Unknown : 0.0 ratio [PASSED]
Unknown : 0.0 millisecond [PASSED]","Rich to lean sensor switch time : 0.0 millisecond [PASSED]
Unknown : 0.0 millivolt [PASSED]
Unknown : 0.0 millivolt [PASSED]",Unknown : -40.0 degree_Celsius [PASSED],Unknown : 0.0 ohm [PASSED],Unknown : 0.0 count [PASSED],"Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]
Unknown : 0.0 degree [PASSED]",0.725 volt,-0.00390625 milliampere,"((), (False, False, False, False), (False, False, True, True))",India OBD II (IOBD II),0101010001000000000000000000000000000000,10111110001111101010100000010011,10000000000001111011000000010001,11111110110100001000010000000001,5.490196078431373 percent,1107.0 revolutions_per_minute,343.0 second,-1.5625 percent,9.0 kilometer_per_hour,<obd.OBDResponse.Status object at 0x7c9562af5ba0>,<obd.OBDResponse.Status object at 0x7c9562af5c60>,7.8431372549019605 percent,16.470588235294116 percent,16.470588235294116 percent,12.5 degree,bytearray(b'MEXKRDPA7NG020286'),0.0 count,2025-04-24 12:56:16,2025-04-24 12:56:21,2025-04-24 12:56:16,No Signal,,,1.8,1.47,8.79,-0.03,0.0,-0.0,NO
