   ,Start_Time         ,SPEED                   ,Coolant Temp      ,Engine Load                ,Throttle_pos_b ,End_Time
 0 ,1726903510.3323169 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 1 ,1726903510.728341  ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 2 ,1726903511.1183124 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 3 ,1726903511.4842706 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.88235294117647 percent  ,               ,
 4 ,1726903511.8502705 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 5 ,1726903512.2162218 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 6 ,1726903512.5822945 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 7 ,1726903512.9484034 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.098039215686274 percent ,               ,
 8 ,1726903513.3141718 ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
 9 ,1726903513.680214  ,0.0 kilometer_per_hour  ,47 degree_Celsius ,25.49019607843137 percent  ,               ,
10 ,1726903514.0462174 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.49019607843137 percent  ,               ,
11 ,1726903514.4120116 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.49019607843137 percent  ,               ,
12 ,1726903514.7724967 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.88235294117647 percent  ,               ,
13 ,1726903515.138295  ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.88235294117647 percent  ,               ,
14 ,1726903515.504624  ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.88235294117647 percent  ,               ,
15 ,1726903515.8704655 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.49019607843137 percent  ,               ,
16 ,1726903516.2365258 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,25.88235294117647 percent  ,               ,
17 ,1726903516.6023967 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,26.274509803921568 percent ,               ,
18 ,1726903516.9624846 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,26.274509803921568 percent ,               ,
19 ,1726903517.328294  ,0.0 kilometer_per_hour  ,48 degree_Celsius ,26.666666666666668 percent ,               ,
20 ,1726903517.6944149 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,27.45098039215686 percent  ,               ,
21 ,1726903518.060365  ,0.0 kilometer_per_hour  ,48 degree_Celsius ,28.235294117647058 percent ,               ,
22 ,1726903518.4262671 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,28.627450980392158 percent ,               ,
23 ,1726903518.7924685 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,29.41176470588235 percent  ,               ,
24 ,1726903519.1584268 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,30.58823529411765 percent  ,               ,
25 ,1726903519.5244567 ,0.0 kilometer_per_hour  ,48 degree_Celsius ,30.980392156862745 percent ,               ,
26 ,1726903519.8904474 ,0.0 kilometer_per_hour  ,49 degree_Celsius ,31.764705882352942 percent ,               ,
27 ,1726903520.2564068 ,0.0 kilometer_per_hour  ,49 degree_Celsius ,32.15686274509804 percent  ,               ,
28 ,1726903520.6223857 ,1.0 kilometer_per_hour  ,49 degree_Celsius ,33.333333333333336 percent ,               ,
29 ,1726903520.9884458 ,2.0 kilometer_per_hour  ,49 degree_Celsius ,33.72549019607843 percent  ,               ,
30 ,1726903521.348505  ,2.0 kilometer_per_hour  ,49 degree_Celsius ,34.509803921568626 percent ,               ,
31 ,1726903521.714627  ,2.0 kilometer_per_hour  ,49 degree_Celsius ,34.90196078431372 percent  ,               ,
32 ,1726903522.0803192 ,3.0 kilometer_per_hour  ,49 degree_Celsius ,35.294117647058826 percent ,               ,
33 ,1726903522.4465675 ,4.0 kilometer_per_hour  ,49 degree_Celsius ,35.294117647058826 percent ,               ,
34 ,1726903522.812844  ,4.0 kilometer_per_hour  ,49 degree_Celsius ,35.68627450980392 percent  ,               ,
35 ,1726903523.1726234 ,4.0 kilometer_per_hour  ,49 degree_Celsius ,36.07843137254902 percent  ,               ,
36 ,1726903523.538549  ,4.0 kilometer_per_hour  ,49 degree_Celsius ,36.470588235294116 percent ,               ,
37 ,1726903523.9106224 ,4.0 kilometer_per_hour  ,49 degree_Celsius ,37.254901960784316 percent ,               ,
38 ,1726903524.2707126 ,4.0 kilometer_per_hour  ,49 degree_Celsius ,38.03921568627451 percent  ,               ,
39 ,1726903524.6367054 ,5.0 kilometer_per_hour  ,49 degree_Celsius ,38.03921568627451 percent  ,               ,
40 ,1726903525.0026793 ,5.0 kilometer_per_hour  ,49 degree_Celsius ,38.431372549019606 percent ,               ,
41 ,1726903525.3687544 ,5.0 kilometer_per_hour  ,49 degree_Celsius ,40.3921568627451 percent   ,               ,
42 ,1726903525.7347376 ,6.0 kilometer_per_hour  ,50 degree_Celsius ,41.568627450980394 percent ,               ,
43 ,1726903526.100566  ,6.0 kilometer_per_hour  ,50 degree_Celsius ,42.35294117647059 percent  ,               ,
44 ,1726903526.460761  ,6.0 kilometer_per_hour  ,50 degree_Celsius ,41.568627450980394 percent ,               ,
45 ,1726903526.8268948 ,6.0 kilometer_per_hour  ,50 degree_Celsius ,41.568627450980394 percent ,               ,
46 ,1726903527.1930163 ,7.0 kilometer_per_hour  ,50 degree_Celsius ,40.0 percent               ,               ,
47 ,1726903527.5589285 ,7.0 kilometer_per_hour  ,50 degree_Celsius ,39.21568627450981 percent  ,               ,
48 ,1726903527.918946  ,7.0 kilometer_per_hour  ,50 degree_Celsius ,37.64705882352941 percent  ,               ,
49 ,1726903528.284911  ,7.0 kilometer_per_hour  ,50 degree_Celsius ,37.254901960784316 percent ,               ,
50 ,1726903528.650835  ,7.0 kilometer_per_hour  ,50 degree_Celsius ,35.68627450980392 percent  ,               ,
51 ,1726903529.0170143 ,7.0 kilometer_per_hour  ,50 degree_Celsius ,35.68627450980392 percent  ,               ,
52 ,1726903529.3827317 ,7.0 kilometer_per_hour  ,50 degree_Celsius ,34.90196078431372 percent  ,               ,
53 ,1726903529.7430236 ,7.0 kilometer_per_hour  ,50 degree_Celsius ,34.90196078431372 percent  ,               ,
54 ,1726903530.108917  ,7.0 kilometer_per_hour  ,50 degree_Celsius ,34.509803921568626 percent ,               ,
   ,Start_Time         ,SPEED                   ,Coolant Temp      ,Engine Load                ,Throttle_pos_b ,End_Time
 0 ,1726903552.2747087 ,26.0 kilometer_per_hour ,55 degree_Celsius ,68.62745098039215 percent  ,               ,
 1 ,1726903552.6407585 ,27.0 kilometer_per_hour ,55 degree_Celsius ,88.62745098039215 percent  ,               ,
 2 ,1726903553.0068681 ,28.0 kilometer_per_hour ,55 degree_Celsius ,92.54901960784314 percent  ,               ,
 3 ,1726903553.3728886 ,29.0 kilometer_per_hour ,56 degree_Celsius ,92.15686274509804 percent  ,               ,
 4 ,1726903553.7389147 ,31.0 kilometer_per_hour ,56 degree_Celsius ,90.19607843137256 percent  ,               ,
 5 ,1726903554.104971  ,32.0 kilometer_per_hour ,56 degree_Celsius ,65.49019607843137 percent  ,               ,
 6 ,1726903554.470953  ,32.0 kilometer_per_hour ,56 degree_Celsius ,20.392156862745097 percent ,               ,
 7 ,1726903554.8370101 ,32.0 kilometer_per_hour ,56 degree_Celsius ,16.862745098039216 percent ,               ,
 8 ,1726903555.2032015 ,31.0 kilometer_per_hour ,56 degree_Celsius ,20.0 percent               ,               ,
 9 ,1726903555.5690691 ,29.0 kilometer_per_hour ,56 degree_Celsius ,20.0 percent               ,               ,
10 ,1726903555.9353082 ,28.0 kilometer_per_hour ,56 degree_Celsius ,20.784313725490197 percent ,               ,
11 ,1726903556.3013117 ,28.0 kilometer_per_hour ,57 degree_Celsius ,78.03921568627452 percent  ,               ,
12 ,1726903556.6673262 ,28.0 kilometer_per_hour ,57 degree_Celsius ,93.33333333333333 percent  ,               ,
13 ,1726903557.0333076 ,30.0 kilometer_per_hour ,57 degree_Celsius ,91.76470588235294 percent  ,               ,
14 ,1726903557.3993623 ,31.0 kilometer_per_hour ,57 degree_Celsius ,90.58823529411765 percent  ,               ,
15 ,1726903557.7654574 ,33.0 kilometer_per_hour ,57 degree_Celsius ,89.80392156862744 percent  ,               ,
16 ,1726903558.1315682 ,34.0 kilometer_per_hour ,57 degree_Celsius ,87.84313725490196 percent  ,               ,
17 ,1726903558.4973838 ,36.0 kilometer_per_hour ,57 degree_Celsius ,74.11764705882354 percent  ,               ,
18 ,1726903558.863644  ,36.0 kilometer_per_hour ,57 degree_Celsius ,17.647058823529413 percent ,               ,
19 ,1726903559.2297783 ,36.0 kilometer_per_hour ,58 degree_Celsius ,16.470588235294116 percent ,               ,
20 ,1726903559.5955942 ,35.0 kilometer_per_hour ,58 degree_Celsius ,18.431372549019606 percent ,               ,
21 ,1726903559.9615462 ,33.0 kilometer_per_hour ,58 degree_Celsius ,18.823529411764707 percent ,               ,
22 ,1726903560.327642  ,32.0 kilometer_per_hour ,58 degree_Celsius ,19.607843137254903 percent ,               ,
23 ,1726903560.6877003 ,31.0 kilometer_per_hour ,58 degree_Celsius ,20.0 percent               ,               ,
24 ,1726903561.0536773 ,29.0 kilometer_per_hour ,58 degree_Celsius ,19.607843137254903 percent ,               ,
25 ,1726903561.4138954 ,27.0 kilometer_per_hour ,58 degree_Celsius ,19.215686274509803 percent ,               ,
26 ,1726903561.7798305 ,26.0 kilometer_per_hour ,58 degree_Celsius ,19.607843137254903 percent ,               ,
27 ,1726903562.1458375 ,25.0 kilometer_per_hour ,59 degree_Celsius ,20.0 percent               ,               ,
28 ,1726903562.5120094 ,23.0 kilometer_per_hour ,59 degree_Celsius ,21.96078431372549 percent  ,               ,
29 ,1726903562.878045  ,21.0 kilometer_per_hour ,59 degree_Celsius ,22.352941176470587 percent ,               ,
30 ,1726903563.244013  ,19.0 kilometer_per_hour ,59 degree_Celsius ,23.137254901960784 percent ,               ,
31 ,1726903563.6100538 ,17.0 kilometer_per_hour ,59 degree_Celsius ,23.92156862745098 percent  ,               ,
32 ,1726903563.9760294 ,15.0 kilometer_per_hour ,59 degree_Celsius ,24.313725490196077 percent ,               ,
33 ,1726903564.3420968 ,14.0 kilometer_per_hour ,59 degree_Celsius ,24.705882352941178 percent ,               ,
34 ,1726903564.7021248 ,14.0 kilometer_per_hour ,59 degree_Celsius ,25.49019607843137 percent  ,               ,
35 ,1726903565.0681713 ,12.0 kilometer_per_hour ,59 degree_Celsius ,26.274509803921568 percent ,               ,
36 ,1726903565.4280598 ,11.0 kilometer_per_hour ,59 degree_Celsius ,26.666666666666668 percent ,               ,
37 ,1726903565.8003886 ,9.0 kilometer_per_hour  ,59 degree_Celsius ,27.058823529411764 percent ,               ,
38 ,1726903566.1601412 ,8.0 kilometer_per_hour  ,59 degree_Celsius ,27.45098039215686 percent  ,               ,
39 ,1726903566.5264263 ,8.0 kilometer_per_hour  ,59 degree_Celsius ,91.37254901960785 percent  ,               ,
40 ,1726903566.892557  ,7.0 kilometer_per_hour  ,59 degree_Celsius ,94.50980392156863 percent  ,               ,
41 ,1726903567.2585027 ,8.0 kilometer_per_hour  ,60 degree_Celsius ,86.66666666666667 percent  ,               ,
42 ,1726903567.6245427 ,7.0 kilometer_per_hour  ,60 degree_Celsius ,46.27450980392157 percent  ,               ,
43 ,1726903567.9905334 ,7.0 kilometer_per_hour  ,60 degree_Celsius ,46.666666666666664 percent ,               ,
44 ,1726903568.3505704 ,7.0 kilometer_per_hour  ,60 degree_Celsius ,91.37254901960785 percent  ,               ,
45 ,1726903568.7166114 ,9.0 kilometer_per_hour  ,60 degree_Celsius ,90.58823529411765 percent  ,               ,
46 ,1726903569.076652  ,11.0 kilometer_per_hour ,60 degree_Celsius ,92.15686274509804 percent  ,               ,
47 ,1726903569.4423013 ,13.0 kilometer_per_hour ,60 degree_Celsius ,92.15686274509804 percent  ,               ,
48 ,1726903569.8027556 ,16.0 kilometer_per_hour ,60 degree_Celsius ,89.80392156862744 percent  ,               ,
49 ,1726903570.168797  ,18.0 kilometer_per_hour ,60 degree_Celsius ,86.27450980392157 percent  ,               ,
50 ,1726903570.5348442 ,21.0 kilometer_per_hour ,60 degree_Celsius ,85.49019607843137 percent  ,               ,
51 ,1726903570.9008517 ,24.0 kilometer_per_hour ,60 degree_Celsius ,85.49019607843137 percent  ,               ,
52 ,1726903571.2671106 ,26.0 kilometer_per_hour ,60 degree_Celsius ,22.352941176470587 percent ,               ,
53 ,1726903571.6330483 ,27.0 kilometer_per_hour ,60 degree_Celsius ,16.07843137254902 percent  ,               ,
54 ,1726903571.999018  ,28.0 kilometer_per_hour ,61 degree_Celsius ,94.90196078431373 percent  ,               ,
   ,Start_Time         ,SPEED                   ,Coolant Temp      ,Engine Load                ,Throttle_pos_b ,End_Time
 0 ,1726903580.8679452 ,58.0 kilometer_per_hour ,64 degree_Celsius ,96.47058823529412 percent  ,               ,
 1 ,1726903581.2283258 ,59.0 kilometer_per_hour ,64 degree_Celsius ,96.47058823529412 percent  ,               ,
 2 ,1726903581.594358  ,60.0 kilometer_per_hour ,64 degree_Celsius ,96.86274509803921 percent  ,               ,
 3 ,1726903581.960424  ,62.0 kilometer_per_hour ,64 degree_Celsius ,96.86274509803921 percent  ,               ,
 4 ,1726903582.3264537 ,63.0 kilometer_per_hour ,65 degree_Celsius ,97.25490196078431 percent  ,               ,
 5 ,1726903582.6925101 ,64.0 kilometer_per_hour ,65 degree_Celsius ,97.25490196078431 percent  ,               ,
 6 ,1726903583.0585647 ,65.0 kilometer_per_hour ,65 degree_Celsius ,97.6470588235294 percent   ,               ,
 7 ,1726903583.4247544 ,66.0 kilometer_per_hour ,65 degree_Celsius ,97.6470588235294 percent   ,               ,
 8 ,1726903583.79059   ,67.0 kilometer_per_hour ,66 degree_Celsius ,97.6470588235294 percent   ,               ,
 9 ,1726903584.1507041 ,68.0 kilometer_per_hour ,66 degree_Celsius ,97.6470588235294 percent   ,               ,
10 ,1726903584.5167162 ,69.0 kilometer_per_hour ,66 degree_Celsius ,97.6470588235294 percent   ,               ,
11 ,1726903584.8827975 ,70.0 kilometer_per_hour ,66 degree_Celsius ,97.6470588235294 percent   ,               ,
12 ,1726903585.2488477 ,71.0 kilometer_per_hour ,66 degree_Celsius ,97.6470588235294 percent   ,               ,
13 ,1726903585.615018  ,73.0 kilometer_per_hour ,66 degree_Celsius ,98.03921568627452 percent  ,               ,
14 ,1726903585.9810717 ,74.0 kilometer_per_hour ,67 degree_Celsius ,98.03921568627452 percent  ,               ,
15 ,1726903586.3471906 ,75.0 kilometer_per_hour ,67 degree_Celsius ,98.03921568627452 percent  ,               ,
16 ,1726903586.7130582 ,76.0 kilometer_per_hour ,67 degree_Celsius ,98.03921568627452 percent  ,               ,
17 ,1726903587.0791001 ,77.0 kilometer_per_hour ,67 degree_Celsius ,98.03921568627452 percent  ,               ,
18 ,1726903587.4451559 ,78.0 kilometer_per_hour ,68 degree_Celsius ,98.03921568627452 percent  ,               ,
19 ,1726903587.8113005 ,80.0 kilometer_per_hour ,68 degree_Celsius ,98.03921568627452 percent  ,               ,
20 ,1726903588.1773047 ,80.0 kilometer_per_hour ,68 degree_Celsius ,20.784313725490197 percent ,               ,
21 ,1726903588.5433662 ,79.0 kilometer_per_hour ,68 degree_Celsius ,17.254901960784313 percent ,               ,
22 ,1726903588.9095452 ,79.0 kilometer_per_hour ,68 degree_Celsius ,18.431372549019606 percent ,               ,
23 ,1726903589.269449  ,78.0 kilometer_per_hour ,69 degree_Celsius ,18.431372549019606 percent ,               ,
24 ,1726903589.6356122 ,77.0 kilometer_per_hour ,69 degree_Celsius ,18.431372549019606 percent ,               ,
25 ,1726903590.0016046 ,75.0 kilometer_per_hour ,69 degree_Celsius ,18.431372549019606 percent ,               ,
26 ,1726903590.3676612 ,73.0 kilometer_per_hour ,69 degree_Celsius ,18.431372549019606 percent ,               ,
27 ,1726903590.7277842 ,70.0 kilometer_per_hour ,69 degree_Celsius ,17.647058823529413 percent ,               ,
28 ,1726903591.0936718 ,69.0 kilometer_per_hour ,70 degree_Celsius ,17.254901960784313 percent ,               ,
29 ,1726903591.4597428 ,67.0 kilometer_per_hour ,70 degree_Celsius ,17.254901960784313 percent ,               ,
30 ,1726903591.82581   ,65.0 kilometer_per_hour ,70 degree_Celsius ,17.254901960784313 percent ,               ,
31 ,1726903592.1918602 ,64.0 kilometer_per_hour ,70 degree_Celsius ,17.254901960784313 percent ,               ,
32 ,1726903592.557937  ,63.0 kilometer_per_hour ,70 degree_Celsius ,16.862745098039216 percent ,               ,
33 ,1726903592.924031  ,63.0 kilometer_per_hour ,70 degree_Celsius ,96.07843137254902 percent  ,               ,
34 ,1726903593.2898872 ,64.0 kilometer_per_hour ,70 degree_Celsius ,96.47058823529412 percent  ,               ,
35 ,1726903593.6563659 ,65.0 kilometer_per_hour ,70 degree_Celsius ,97.25490196078431 percent  ,               ,
36 ,1726903594.0224133 ,67.0 kilometer_per_hour ,70 degree_Celsius ,97.25490196078431 percent  ,               ,
37 ,1726903594.3882394 ,69.0 kilometer_per_hour ,70 degree_Celsius ,97.25490196078431 percent  ,               ,
38 ,1726903594.7544208 ,69.0 kilometer_per_hour ,70 degree_Celsius ,18.03921568627451 percent  ,               ,
39 ,1726903595.12034   ,70.0 kilometer_per_hour ,71 degree_Celsius ,14.509803921568627 percent ,               ,
40 ,1726903595.4862118 ,71.0 kilometer_per_hour ,71 degree_Celsius ,96.86274509803921 percent  ,               ,
41 ,1726903595.8524609 ,72.0 kilometer_per_hour ,71 degree_Celsius ,97.25490196078431 percent  ,               ,
42 ,1726903596.2185092 ,73.0 kilometer_per_hour ,71 degree_Celsius ,96.86274509803921 percent  ,               ,
43 ,1726903596.578534  ,74.0 kilometer_per_hour ,71 degree_Celsius ,96.07843137254902 percent  ,               ,
44 ,1726903596.944635  ,75.0 kilometer_per_hour ,71 degree_Celsius ,96.47058823529412 percent  ,               ,
45 ,1726903597.310668  ,76.0 kilometer_per_hour ,71 degree_Celsius ,96.47058823529412 percent  ,               ,
46 ,1726903597.6767573 ,78.0 kilometer_per_hour ,71 degree_Celsius ,96.47058823529412 percent  ,               ,
47 ,1726903598.042758  ,79.0 kilometer_per_hour ,71 degree_Celsius ,96.86274509803921 percent  ,               ,
48 ,1726903598.4088168 ,80.0 kilometer_per_hour ,71 degree_Celsius ,96.86274509803921 percent  ,               ,
49 ,1726903598.7749796 ,82.0 kilometer_per_hour ,71 degree_Celsius ,97.25490196078431 percent  ,               ,
50 ,1726903599.1410422 ,83.0 kilometer_per_hour ,72 degree_Celsius ,97.25490196078431 percent  ,               ,
51 ,1726903599.506969  ,84.0 kilometer_per_hour ,72 degree_Celsius ,50.588235294117645 percent ,               ,
52 ,1726903599.8731413 ,83.0 kilometer_per_hour ,72 degree_Celsius ,10.980392156862745 percent ,               ,
53 ,1726903600.2393293 ,84.0 kilometer_per_hour ,72 degree_Celsius ,14.901960784313726 percent ,               ,
54 ,1726903600.605324  ,83.0 kilometer_per_hour ,72 degree_Celsius ,15.294117647058824 percent ,               ,
   ,Start_Time         ,SPEED                   ,Coolant Temp      ,Engine Load                ,Throttle_pos_b ,End_Time
 0 ,1726903616.6278157 ,15.0 kilometer_per_hour ,74 degree_Celsius ,29.80392156862745 percent  ,               ,
 1 ,1726903616.9937143 ,15.0 kilometer_per_hour ,74 degree_Celsius ,29.80392156862745 percent  ,               ,
 2 ,1726903617.359855  ,15.0 kilometer_per_hour ,74 degree_Celsius ,29.80392156862745 percent  ,               ,
 3 ,1726903617.725869  ,16.0 kilometer_per_hour ,74 degree_Celsius ,29.41176470588235 percent  ,               ,
 4 ,1726903618.0918756 ,16.0 kilometer_per_hour ,74 degree_Celsius ,29.80392156862745 percent  ,               ,
 5 ,1726903618.4579415 ,17.0 kilometer_per_hour ,74 degree_Celsius ,29.41176470588235 percent  ,               ,
 6 ,1726903618.824068  ,17.0 kilometer_per_hour ,74 degree_Celsius ,30.58823529411765 percent  ,               ,
 7 ,1726903619.190277  ,18.0 kilometer_per_hour ,74 degree_Celsius ,30.58823529411765 percent  ,               ,
 8 ,1726903619.5560684 ,18.0 kilometer_per_hour ,74 degree_Celsius ,29.80392156862745 percent  ,               ,
 9 ,1726903619.9223027 ,19.0 kilometer_per_hour ,74 degree_Celsius ,29.019607843137255 percent ,               ,
10 ,1726903620.2883592 ,19.0 kilometer_per_hour ,74 degree_Celsius ,28.235294117647058 percent ,               ,
11 ,1726903620.654435  ,20.0 kilometer_per_hour ,74 degree_Celsius ,27.45098039215686 percent  ,               ,
12 ,1726903621.020472  ,20.0 kilometer_per_hour ,74 degree_Celsius ,26.666666666666668 percent ,               ,
13 ,1726903621.3864927 ,20.0 kilometer_per_hour ,74 degree_Celsius ,26.274509803921568 percent ,               ,
14 ,1726903621.7465668 ,20.0 kilometer_per_hour ,74 degree_Celsius ,25.49019607843137 percent  ,               ,
15 ,1726903622.112801  ,21.0 kilometer_per_hour ,74 degree_Celsius ,25.098039215686274 percent ,               ,
16 ,1726903622.4788244 ,21.0 kilometer_per_hour ,74 degree_Celsius ,25.098039215686274 percent ,               ,
17 ,1726903622.8448167 ,21.0 kilometer_per_hour ,74 degree_Celsius ,24.705882352941178 percent ,               ,
18 ,1726903623.2049093 ,20.0 kilometer_per_hour ,74 degree_Celsius ,25.098039215686274 percent ,               ,
19 ,1726903623.5708485 ,20.0 kilometer_per_hour ,74 degree_Celsius ,25.88235294117647 percent  ,               ,
20 ,1726903623.936852  ,20.0 kilometer_per_hour ,74 degree_Celsius ,26.274509803921568 percent ,               ,
21 ,1726903624.3028283 ,19.0 kilometer_per_hour ,74 degree_Celsius ,27.45098039215686 percent  ,               ,
22 ,1726903624.669134  ,19.0 kilometer_per_hour ,74 degree_Celsius ,45.490196078431374 percent ,               ,
23 ,1726903625.0351245 ,20.0 kilometer_per_hour ,74 degree_Celsius ,70.98039215686275 percent  ,               ,
24 ,1726903625.4011781 ,20.0 kilometer_per_hour ,74 degree_Celsius ,76.07843137254902 percent  ,               ,
25 ,1726903625.7671263 ,21.0 kilometer_per_hour ,74 degree_Celsius ,76.86274509803921 percent  ,               ,
26 ,1726903626.1333687 ,22.0 kilometer_per_hour ,74 degree_Celsius ,77.6470588235294 percent   ,               ,
27 ,1726903626.4934864 ,23.0 kilometer_per_hour ,74 degree_Celsius ,77.25490196078431 percent  ,               ,
28 ,1726903626.8595304 ,24.0 kilometer_per_hour ,74 degree_Celsius ,76.07843137254902 percent  ,               ,
29 ,1726903627.2197058 ,25.0 kilometer_per_hour ,74 degree_Celsius ,74.50980392156863 percent  ,               ,
30 ,1726903627.585571  ,25.0 kilometer_per_hour ,74 degree_Celsius ,64.70588235294117 percent  ,               ,
31 ,1726903627.9517002 ,26.0 kilometer_per_hour ,75 degree_Celsius ,30.980392156862745 percent ,               ,
32 ,1726903628.3117666 ,26.0 kilometer_per_hour ,75 degree_Celsius ,21.568627450980394 percent ,               ,
33 ,1726903628.6778233 ,26.0 kilometer_per_hour ,75 degree_Celsius ,18.823529411764707 percent ,               ,
34 ,1726903629.0438154 ,26.0 kilometer_per_hour ,75 degree_Celsius ,18.431372549019606 percent ,               ,
35 ,1726903629.4100451 ,26.0 kilometer_per_hour ,75 degree_Celsius ,17.647058823529413 percent ,               ,
36 ,1726903629.7759488 ,25.0 kilometer_per_hour ,75 degree_Celsius ,17.647058823529413 percent ,               ,
37 ,1726903630.1420374 ,25.0 kilometer_per_hour ,75 degree_Celsius ,18.03921568627451 percent  ,               ,
38 ,1726903630.5079749 ,24.0 kilometer_per_hour ,75 degree_Celsius ,18.431372549019606 percent ,               ,
39 ,1726903630.8742998 ,24.0 kilometer_per_hour ,75 degree_Celsius ,18.431372549019606 percent ,               ,
40 ,1726903631.2402768 ,24.0 kilometer_per_hour ,75 degree_Celsius ,23.529411764705884 percent ,               ,
41 ,1726903631.6062822 ,24.0 kilometer_per_hour ,75 degree_Celsius ,30.19607843137255 percent  ,               ,
42 ,1726903631.9724483 ,24.0 kilometer_per_hour ,75 degree_Celsius ,34.509803921568626 percent ,               ,
