,Start_Time,SPEED,Coolant Temp,Engine Load,Timing Advance,Short Trim B1,Long Trim B1,MAF,Throttle_pos,End_Time
0,1725087510.0561502,53.0 kilometer_per_hour,93 degree_Celsius,68.23529411764706 percent,0.0 degree,,,,35.294117647058826 percent,1725087510.296473
1,1725087510.5965335,54.0 kilometer_per_hour,93 degree_Celsius,77.6470588235294 percent,21.0 degree,,,,36.86274509803921 percent,1725087510.8367481
2,1725087511.136566,56.0 kilometer_per_hour,93 degree_Celsius,76.07843137254902 percent,20.0 degree,,,,34.90196078431372 percent,1725087511.377
3,1725087511.6769612,57.0 kilometer_per_hour,93 degree_Celsius,74.90196078431373 percent,20.0 degree,,,,34.509803921568626 percent,1725087511.9173205
4,1725087512.2171233,59.0 kilometer_per_hour,93 degree_Celsius,73.72549019607843 percent,19.5 degree,,,,34.509803921568626 percent,1725087512.4575582
5,1725087512.7576928,60.0 kilometer_per_hour,93 degree_Celsius,72.54901960784314 percent,20.0 degree,,,,34.509803921568626 percent,1725087512.9980843
6,1725087513.2973099,62.0 kilometer_per_hour,93 degree_Celsius,71.76470588235294 percent,20.0 degree,,,,34.509803921568626 percent,1725087513.5374882
7,1725087513.837666,63.0 kilometer_per_hour,93 degree_Celsius,70.98039215686275 percent,20.5 degree,,,,32.549019607843135 percent,1725087514.07846
8,1725087514.3785472,64.0 kilometer_per_hour,93 degree_Celsius,35.68627450980392 percent,14.5 degree,,,,23.137254901960784 percent,1725087514.6185822
9,1725087514.9184647,64.0 kilometer_per_hour,93 degree_Celsius,30.19607843137255 percent,16.0 degree,,,,21.568627450980394 percent,1725087515.1591065
10,1725087515.4585507,64.0 kilometer_per_hour,93 degree_Celsius,21.568627450980394 percent,19.5 degree,,,,20.392156862745097 percent,1725087515.6993525
11,1725087515.9991705,64.0 kilometer_per_hour,93 degree_Celsius,35.68627450980392 percent,32.0 degree,,,,20.392156862745097 percent,1725087516.2390637
12,1725087516.5394604,64.0 kilometer_per_hour,92 degree_Celsius,39.21568627450981 percent,32.5 degree,,,,19.607843137254903 percent,1725087516.7797086
13,1725087517.0797105,64.0 kilometer_per_hour,92 degree_Celsius,39.6078431372549 percent,32.0 degree,,,,20.0 percent,1725087517.3201447
14,1725087517.6203508,64.0 kilometer_per_hour,92 degree_Celsius,38.03921568627451 percent,33.0 degree,,,,19.215686274509803 percent,1725087517.8605685
15,1725087518.1605809,64.0 kilometer_per_hour,92 degree_Celsius,35.294117647058826 percent,34.0 degree,,,,19.215686274509803 percent,1725087518.4008636
16,1725087518.7007833,63.0 kilometer_per_hour,92 degree_Celsius,35.294117647058826 percent,33.5 degree,,,,19.215686274509803 percent,1725087518.9410086
17,1725087519.2406228,63.0 kilometer_per_hour,92 degree_Celsius,29.019607843137255 percent,28.5 degree,,,,17.647058823529413 percent,1725087519.4814942
18,1725087519.7812157,63.0 kilometer_per_hour,92 degree_Celsius,23.529411764705884 percent,8.5 degree,,,,16.862745098039216 percent,1725087520.0210524
19,1725087520.3213687,62.0 kilometer_per_hour,92 degree_Celsius,18.431372549019606 percent,3.0 degree,,,,16.862745098039216 percent,1725087520.5619338
20,1725087520.8615026,61.0 kilometer_per_hour,92 degree_Celsius,28.235294117647058 percent,32.5 degree,,,,19.215686274509803 percent,1725087521.1021361
21,1725087521.4022565,61.0 kilometer_per_hour,92 degree_Celsius,30.58823529411765 percent,33.5 degree,,,,18.823529411764707 percent,1725087521.6426013
22,1725087521.9425516,61.0 kilometer_per_hour,92 degree_Celsius,32.15686274509804 percent,34.5 degree,,,,19.215686274509803 percent,1725087522.1827543
23,1725087522.4822354,60.0 kilometer_per_hour,92 degree_Celsius,33.72549019607843 percent,34.0 degree,,,,19.215686274509803 percent,1725087522.7231073
24,1725087523.0224829,60.0 kilometer_per_hour,92 degree_Celsius,37.254901960784316 percent,32.5 degree,,,,20.392156862745097 percent,1725087523.2631948
25,1725087523.563235,60.0 kilometer_per_hour,92 degree_Celsius,44.705882352941174 percent,29.5 degree,,,,21.176470588235293 percent,1725087523.8036177
26,1725087524.1034503,60.0 kilometer_per_hour,92 degree_Celsius,48.23529411764706 percent,29.0 degree,,,,20.784313725490197 percent,1725087524.3438902
