,Start_Time,SPEED,Engine Load,Coolant Temp,MAF,Timing Advance,Short Trim B1,Long Trim B1,Throttle_pos,End_Time
0,1725473367.4650052,60.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473367.4752898
1,1725473367.7299633,64.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473367.7377796
2,1725473367.9922335,68.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473368.0174577
3,1725473368.2727416,72.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473368.2838423
4,1725473368.538062,76.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473368.5641634
5,1725473368.8198097,80.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473368.830184
6,1725473369.0840938,84.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473369.1090956
7,1725473369.3641078,88.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473369.3885689
8,1725473369.6437268,92.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473369.667905
9,1725473369.9230843,96.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473369.9330647
10,1725473370.187047,100.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473370.2118306
11,1725473370.4666348,104.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473370.4761932
12,1725473370.7307618,108.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473370.7589312
13,1725473371.0146027,112.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473371.024847
14,1725473371.2795577,116.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473371.3075743
15,1725473371.5626607,120.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473371.5883482
16,1725473371.8432858,116.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473371.8678446
17,1725473372.1216476,112.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473372.130161
18,1725473372.3851457,108.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473372.3960614
19,1725473372.650983,104.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473372.6782932
20,1725473372.934035,100.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473372.9609826
21,1725473373.2160707,96.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473373.2428513
22,1725473373.4987926,92.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473373.5282204
23,1725473373.7837214,88.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473373.7910836
24,1725473374.0457876,84.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473374.0738273
25,1725473374.3286786,80.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473374.353292
26,1725473374.608663,76.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473374.6332014
27,1725473374.8880358,72.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473374.912585
28,1725473375.1653228,68.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473375.1753242
29,1725473375.4294486,64.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473375.4370575
30,1725473375.6914675,60.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473375.715899
31,1725473375.9712915,56.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473375.9967773
32,1725473376.2522326,52.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473376.2778277
33,1725473376.533259,48.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473376.5592887
34,1725473376.8148625,44.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473376.8250988
35,1725473377.0796866,40.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473377.10592
36,1725473377.3606234,36.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473377.3868625
37,1725473377.6420448,32.0 kilometer_per_hour,0.0 percent,83 degree_Celsius,13.11 gps,,,,100.0 percent,1725473377.6665528
