,Time,STATUS,FUEL_STATUS,ENGINE_LOAD,COOLANT_TEMP,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,INTAKE_PRESSURE,RPM,SPEED,TIMING_ADVANCE,INTAKE_TEMP,THROTTLE_POS,O2_SENSORS,O2_B1S1,O2_B1S2,OBD_COMPLIANCE,RUN_TIME,PIDS_B,DISTANCE_W_MIL,EVAPORATIVE_PURGE,WARMUPS_SINCE_DTC_CLEAR,DISTANCE_SINCE_DTC_CLEAR,BAROMETRIC_PRESSURE,PIDS_C,CONTROL_MODULE_VOLTAGE,ABSOLUTE_LOAD,RELATIVE_THROTTLE_POS,THROTTLE_POS_B,ACCELERATOR_POS_D,ACCELERATOR_POS_E,THROTTLE_ACTUATOR
0,1725715727.6307495,<obd.OBDResponse.Status object at 0x7fdf6488ea50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1725715727.6724648,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1725715727.708753,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1725715727.7506514,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1725715727.792811,,,,,-5.46875 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1725715727.8287685,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
6,1725715727.8706188,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
7,1725715727.9127567,,,,,,,,775.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
8,1725715727.9485667,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
9,1725715727.990788,,,,,,,,,,12.5 degree,,,,,,,,,,,,,,,,,,,,,
10,1725715728.0326145,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
11,1725715728.0685995,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
12,1725715728.110402,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
13,1725715728.152708,,,,,,,,,,,,,,0.395 volt,,,,,,,,,,,,,,,,,
14,1725715728.188802,,,,,,,,,,,,,,,0.68 volt,,,,,,,,,,,,,,,,
15,1725715728.2304027,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
16,1725715728.2725153,,,,,,,,,,,,,,,,,156.0 second,,,,,,,,,,,,,,
17,1725715728.308356,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
18,1725715728.350389,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
19,1725715728.392652,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
20,1725715728.4284542,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
21,1725715728.4705312,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
22,1725715728.5127723,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
23,1725715728.5483525,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
24,1725715728.5904877,,,,,,,,,,,,,,,,,,,,,,,,,13.853 volt,,,,,,
25,1725715728.6326883,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
26,1725715728.6686802,,,,,,,,,,,,,,,,,,,,,,,,,,,5.490196078431373 percent,,,,
27,1725715728.7107298,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
28,1725715728.7527006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
29,1725715728.7886739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
30,1725715728.8306992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
31,1725715729.1188025,<obd.OBDResponse.Status object at 0x7fdf648aa1d0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1725715729.160269,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1725715729.2027154,,,20.392156862745097 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1725715729.238583,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1725715729.2808125,,,,,-3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1725715729.3227365,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
37,1725715729.358672,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
38,1725715729.4006085,,,,,,,,803.0 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
39,1725715729.4425156,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
40,1725715729.4788518,,,,,,,,,,12.5 degree,,,,,,,,,,,,,,,,,,,,,
41,1725715729.520587,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
42,1725715729.5628445,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
43,1725715729.5984635,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
44,1725715729.640666,,,,,,,,,,,,,,0.75 volt,,,,,,,,,,,,,,,,,
45,1725715729.6827838,,,,,,,,,,,,,,,0.675 volt,,,,,,,,,,,,,,,,
46,1725715729.7185504,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
47,1725715729.760525,,,,,,,,,,,,,,,,,158.0 second,,,,,,,,,,,,,,
48,1725715729.8024046,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
49,1725715729.8386497,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
50,1725715729.8806992,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
51,1725715729.9225101,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
52,1725715729.9585452,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
53,1725715730.0006132,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
54,1725715730.0424342,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
55,1725715730.078538,,,,,,,,,,,,,,,,,,,,,,,,,13.735 volt,,,,,,
56,1725715730.1204903,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137254902 percent,,,,,
57,1725715730.162542,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
58,1725715730.1989288,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
59,1725715730.2406526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
60,1725715730.2825663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
61,1725715730.318691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.666666666666667 percent
62,1725715730.6126816,<obd.OBDResponse.Status object at 0x7fdf648abed0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1725715730.6485853,,"('Closed loop, using oxygen sensor feedback to determine fuel mix', '')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1725715730.6907532,,,20.784313725490197 percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1725715730.7326503,,,,63 degree_Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1725715730.7686648,,,,,-4.6875 percent,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1725715730.810726,,,,,,3.125 percent,,,,,,,,,,,,,,,,,,,,,,,,,
68,1725715730.8527396,,,,,,,28 kilopascal,,,,,,,,,,,,,,,,,,,,,,,,
69,1725715730.8884406,,,,,,,,783.5 revolutions_per_minute,,,,,,,,,,,,,,,,,,,,,,,
70,1725715730.930496,,,,,,,,,0.0 kilometer_per_hour,,,,,,,,,,,,,,,,,,,,,,
71,1725715730.9727268,,,,,,,,,,14.0 degree,,,,,,,,,,,,,,,,,,,,,
72,1725715731.0084934,,,,,,,,,,,38 degree_Celsius,,,,,,,,,,,,,,,,,,,,
73,1725715731.0506918,,,,,,,,,,,,14.901960784313726 percent,,,,,,,,,,,,,,,,,,,
74,1725715731.0922163,,,,,,,,,,,,,"((), (False, False, False, False), (False, False, True, True))",,,,,,,,,,,,,,,,,,
75,1725715731.1285632,,,,,,,,,,,,,,0.09 volt,,,,,,,,,,,,,,,,,
76,1725715731.1706889,,,,,,,,,,,,,,,0.68 volt,,,,,,,,,,,,,,,,
77,1725715731.2123306,,,,,,,,,,,,,,,,India OBD II (IOBD II),,,,,,,,,,,,,,,
78,1725715731.2483616,,,,,,,,,,,,,,,,,159.0 second,,,,,,,,,,,,,,
79,1725715731.2904258,,,,,,,,,,,,,,,,,,10000000000001011010000000000001,,,,,,,,,,,,,
80,1725715731.3325186,,,,,,,,,,,,,,,,,,,0.0 kilometer,,,,,,,,,,,,
81,1725715731.374733,,,,,,,,,,,,,,,,,,,,0.0 percent,,,,,,,,,,,
82,1725715731.4225154,,,,,,,,,,,,,,,,,,,,,255.0 count,,,,,,,,,,
83,1725715731.4585187,,,,,,,,,,,,,,,,,,,,,,52041.0 kilometer,,,,,,,,,
84,1725715731.5008023,,,,,,,,,,,,,,,,,,,,,,,100 kilopascal,,,,,,,,
85,1725715731.5424054,,,,,,,,,,,,,,,,,,,,,,,,01101010110100000000000000000000,,,,,,,
86,1725715731.5785196,,,,,,,,,,,,,,,,,,,,,,,,,13.805 volt,,,,,,
87,1725715731.6204643,,,,,,,,,,,,,,,,,,,,,,,,,,16.470588235294116 percent,,,,,
88,1725715731.6626277,,,,,,,,,,,,,,,,,,,,,,,,,,,5.098039215686274 percent,,,,
89,1725715731.698875,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.294117647058824 percent,,,
90,1725715731.7407265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.901960784313726 percent,,
91,1725715731.7827256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450980392156863 percent,
92,1725715731.8308253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0588235294117645 percent
93,1725715732.118279,<obd.OBDResponse.Status object at 0x7fdf6489f4d0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
